sample_num,K,sched,resid
1,1,t_opt,47.859991095153724
1,1,silver,27.830357490477176
1,2,t_opt,4.484701328896316
1,2,silver,3.5415839481142646
1,3,t_opt,1.9495052846970773
1,3,silver,0.6214057841447622
1,4,t_opt,1.0131841762574931
1,4,silver,1.0650497398247754
1,5,t_opt,0.5444776805956789
1,5,silver,0.11510699120983259
1,6,t_opt,0.2983361668898316
1,6,silver,0.061142983833710085
1,7,t_opt,0.16554513635722595
1,7,silver,0.017033507585660936
1,8,t_opt,0.09260913900432703
1,8,silver,0.09056468121538108
2,1,t_opt,48.260124072920846
2,1,silver,28.063032916447234
2,2,t_opt,4.640051744987225
2,2,silver,3.593935042673631
2,3,t_opt,2.0331218347205837
2,3,silver,0.6368284745525232
2,4,t_opt,1.0596936165771025
2,4,silver,1.0807218113198347
2,5,t_opt,0.570585008371883
2,5,silver,0.11960425502250797
2,6,t_opt,0.31307428901904305
2,6,silver,0.062406402828049934
2,7,t_opt,0.1738949485322539
2,7,silver,0.017445314890701176
2,8,t_opt,0.09735021901727253
2,8,silver,0.09163302283552842
3,1,t_opt,48.11590446479313
3,1,silver,27.979169899353252
3,2,t_opt,4.661294171546156
3,2,silver,3.6267869137373023
3,3,t_opt,2.045849570390558
3,3,silver,0.6463112194831725
3,4,t_opt,1.0662579133359955
3,4,silver,1.1075484959910245
3,5,t_opt,0.5739804152120067
3,5,silver,0.1213796608402697
3,6,t_opt,0.3148405294859542
3,6,silver,0.0645774071855512
3,7,t_opt,0.17481713581509903
3,7,silver,0.01804193479619496
3,8,t_opt,0.09783271336543205
3,8,silver,0.09624102030532991
4,1,t_opt,48.395090363523956
4,1,silver,28.141515173353216
4,2,t_opt,4.5707181613093555
4,2,silver,3.5859136607566704
4,3,t_opt,1.9929228346992298
4,3,silver,0.6327504830707782
4,4,t_opt,1.0371681346991621
4,4,silver,1.084661032287123
4,5,t_opt,0.5578433950989025
4,5,silver,0.11800477454553711
4,6,t_opt,0.30582142061057765
4,6,silver,0.06279162743044989
4,7,t_opt,0.16975156643793038
4,7,silver,0.017517624335786238
4,8,t_opt,0.09497858215035065
4,8,silver,0.09336319754040523
5,1,t_opt,48.59319657584994
5,1,silver,28.256712994831187
5,2,t_opt,4.652972658518021
5,2,silver,3.594184154953197
5,3,t_opt,2.040698873275027
5,3,silver,0.6373509234479537
5,4,t_opt,1.064956283286686
5,4,silver,1.0820888689286219
5,5,t_opt,0.5738935745920527
5,5,silver,0.12046154622598013
5,6,t_opt,0.3150495870499105
5,6,silver,0.06306813864097285
5,7,t_opt,0.17504249849334916
5,7,silver,0.01765533651014095
5,8,t_opt,0.09800690477376282
5,8,silver,0.09309521617906039
6,1,t_opt,48.54496403529127
6,1,silver,28.22866600159725
6,2,t_opt,4.411254934289286
6,2,silver,3.530478844787327
6,3,t_opt,1.9037741398820118
6,3,silver,0.6154286526000007
6,4,t_opt,0.9881871607752046
6,4,silver,1.0664397457971422
6,5,t_opt,0.5305669234623079
6,5,silver,0.11340313050040737
6,6,t_opt,0.29049118355591946
6,6,silver,0.06164050823440149
6,7,t_opt,0.16108605574728624
