sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,mosek_tol,sdp_canontime,orig_m,orig_n,z_dim,c_mul,K,init_type,seed
284.4662601343694,72.29612245620228,6,136,9316,5161,17,18380,1e-07,30.759212017059326,10,5,25,10,1,cs,1
232.15801377881988,69.02958198380657,6,136,9316,5161,17,18380,1e-07,31.700329542160034,10,5,25,10,1,heur,1
236.89493856923832,48.554009892977774,6,136,9316,5161,17,18380,1e-07,30.943976402282715,10,5,25,10,1,ws,1
15.082055000530517,429.5830350611359,15,211,22366,11551,17,44350,1e-07,83.61728072166443,10,5,25,10,2,cs,1
21.417151161789505,461.17507320898585,15,211,22366,11551,17,44350,1e-07,86.17555737495422,10,5,25,10,2,heur,1
24.480286061920026,370.5643503309693,15,211,22366,11551,17,44350,1e-07,82.90543603897095,10,5,25,10,2,ws,1
9.264012354277924,1713.1289879879914,30,286,41041,19191,17,81570,1e-07,161.58114504814148,10,5,25,10,3,cs,1
13.122297335801989,1631.2912621309515,30,286,41041,19191,17,81570,1e-07,162.36947464942932,10,5,25,10,3,heur,1
14.158058957985233,1345.199108197121,30,286,41041,19191,17,81570,1e-07,162.5019326210022,10,5,25,10,3,ws,1
5.640367571228097,5638.914342670003,51,361,65341,28081,17,130040,1e-07,271.89657378196716,10,5,25,10,4,cs,1
7.36943479478721,5106.65687046689,51,361,65341,28081,17,130040,1e-07,273.25733852386475,10,5,25,10,4,heur,1
7.157521019434839,4905.900743569946,51,361,65341,28081,17,130040,1e-07,271.35056376457214,10,5,25,10,4,ws,1
3.016660067477858,12359.633055148879,78,436,95266,38221,17,189760,1e-07,451.6432285308838,10,5,25,10,5,cs,1
3.360434723422145,13901.429783150088,78,436,95266,38221,17,189760,1e-07,451.0080165863037,10,5,25,10,5,heur,1
1.6450376110961713,10861.369043185143,78,436,95266,38221,17,189760,1e-07,434.9409875869751,10,5,25,10,5,ws,1
