type,K,tau
cs,1,983.719532738387
ws,1,12.995324737184328
cs,2,245.92987789410438
ws,2,3.2488311579599496
cs,3,115.73676223724314
ws,3,1.5289283463604928
cs,4,62.05712098718642
ws,4,0.8197989745041152
cs,5,35.56720256884424
ws,5,0.46985690972255223
