type,sample_num,K,res
ws,8,1,180.44196495660938
cs,8,2,12.390973788657936
ws,8,2,18.00773434406177
cs,8,3,5.1004544205862885
ws,8,3,6.084689515095566
cs,8,4,3.674884286736242
ws,8,4,4.1243284659625274
cs,8,5,1.3701290019317414
ws,8,5,0.6403619585063458
cs,9,1,207.28956264464253
ws,9,1,181.9534823194282
cs,9,2,12.673572776087557
ws,9,2,18.095098002538222
cs,9,3,5.657407719902277
ws,9,3,6.7433621909148025
cs,9,4,4.016749267527477
ws,9,4,4.462009532713507
cs,9,5,1.5351174318886074
ws,9,5,0.7923527477010824
cs,10,1,206.32911845375446
ws,10,1,181.49980212594767
cs,10,2,13.49152531085223
ws,10,2,19.157882103432755
cs,10,3,6.3101919097082435
ws,10,3,6.869496803562163
cs,10,4,4.359845276610442
ws,10,4,4.680159403664999
cs,10,5,1.8737634782103074
ws,10,5,1.2036186950851213
cs,11,1,205.2375889769057
ws,11,1,179.94848187130412
cs,11,2,12.793850634409388
ws,11,2,18.384239477916278
cs,11,3,5.796808778509183
ws,11,3,6.529519142842699
cs,11,4,4.085921251306694
ws,11,4,4.464025874265843
cs,11,5,1.7584835304542972
ws,11,5,0.9717598338986486
cs,12,1,204.85063020022466
ws,12,1,179.93473528636636
cs,12,2,13.068910050308592
ws,12,2,18.608040090705995
cs,12,3,5.6037013850819
ws,12,3,6.523820787384113
cs,12,4,3.9529055291274995
ws,12,4,4.367593591428105
cs,12,5,1.525528417957274
ws,12,5,0.8242306361487753
cs,13,1,206.3361861314399
ws,13,1,181.10006094408874
cs,13,2,13.177831181309877
ws,13,2,18.637035317835707
cs,13,3,5.7489548614566965
ws,13,3,6.44869499727865
cs,13,4,4.037996595789562
ws,13,4,4.413013707066722
cs,13,5,1.6925203553836696
ws,13,5,0.9153407227161241
cs,14,1,206.35020454183066
ws,14,1,181.17016552566895
cs,14,2,12.940755954906395
ws,14,2,18.49113740905079
cs,14,3,5.720999488934403
ws,14,3,6.450260258916162
cs,14,4,4.054655313132246
ws,14,4,4.452156050763297
cs,14,5,1.7175654144372627
ws,14,5,0.8975697202946448
cs,15,1,205.65072250176436
ws,15,1,180.82791784086632
cs,15,2,13.21550311490471
ws,15,2,18.86330885361526
cs,15,3,6.080498931020661
ws,15,3,6.713790479243964
cs,15,4,4.243431567915175
ws,15,4,4.59885185103964
cs,15,5,1.8162863470819948
ws,15,5,1.0936669343784584
cs,16,1,201.6902388771294
ws,16,1,176.3809083898504
cs,16,2,12.163789898225104
ws,16,2,17.651328369360062
cs,16,3,5.790473753480598
ws,16,3,6.439142228448164
cs,16,4,4.05506577190991
ws,16,4,4.40487285925219
cs,16,5,1.8180996783266588
ws,16,5,1.030379308923087
cs,17,1,204.77979585825025
ws,17,1,179.60838734545686
cs,17,2,12.899316602470714
ws,17,2,18.630122275246034
cs,17,3,6.131757612252781
ws,17,3,6.630103515378851
cs,17,4,4.236578652826008
ws,17,4,4.548936018944846
cs,17,5,1.8627709939869521
ws,17,5,1.219488276825709
cs,18,1,206.02316699405398
ws,18,1,181.28810664632073
cs,18,2,13.477608934191556
ws,18,2,19.01537878699177
cs,18,3,5.9187495595115704
ws,18,3,6.563903584612883
cs,18,4,4.151103709404574
ws,18,4,4.525323658647243
cs,18,5,1.730221344242102
ws,18,5,0.9568738959632451
cs,19,1,211.65102179064422
ws,19,1,186.32624815528084
cs,19,2,13.130002011507699
ws,19,2,18.739104356456284
cs,19,3,5.487842579045325
ws,19,3,6.51676999193306
cs,19,4,3.961919061065469
ws,19,4,4.405009671165983
cs,19,5,1.4639058365753757
ws,19,5,0.7481088553598926
cs,20,1,205.0832262680428
ws,20,1,180.06041061341747
cs,20,2,12.790992805075884
ws,20,2,18.173990329197828
cs,20,3,5.704251359094105
ws,20,3,6.671432253751295
cs,20,4,4.056020962957353
ws,20,4,4.487940128954285
cs,20,5,1.5978240516185735
ws,20,5,0.8529522439660399
cs,21,1,205.34821626389956
ws,21,1,180.07795869121796
cs,21,2,13.058642728135215
ws,21,2,18.764844328515434
cs,21,3,6.407235910722527
ws,21,3,6.870153294519067
cs,21,4,4.3987258382425765
ws,21,4,4.689533217762209
cs,21,5,1.9728519639911755
ws,21,5,1.3553968339622025
cs,22,1,205.5616651057664
ws,22,1,180.50800067204094
cs,22,2,13.01051957145987
ws,22,2,18.649886082633312
cs,22,3,5.953162640489715
ws,22,3,6.552311741942422
cs,22,4,4.154647705151994
ws,22,4,4.50654184627867
cs,22,5,1.7853850073414406
ws,22,5,1.0520263857092038
cs,23,1,207.1672807900219
ws,23,1,182.26457679563904
cs,23,2,13.391555630233896
ws,23,2,19.059753769556977
cs,23,3,6.159783700164548
ws,23,3,6.711013347631393
cs,23,4,4.268638472065161
ws,23,4,4.599638727183764
cs,23,5,1.8234511003564702
ws,23,5,1.138827862879614
cs,24,1,206.12731138028334
ws,24,1,180.75451782764773
cs,24,2,12.881501789149839
ws,24,2,18.084717357359718
cs,24,3,6.2376615281450425
ws,24,3,6.964259649850258
cs,24,4,4.297599541614783
ws,24,4,4.629616230447579
cs,24,5,1.8163494306000898
ws,24,5,1.0878211585491604
cs,25,1,203.44940370141993
ws,25,1,178.81944580484026
cs,25,2,12.775839764738343
ws,25,2,18.249140613106757
cs,25,3,5.6468988794345405
ws,25,3,6.390813262565028
cs,25,4,3.998651154845806
ws,25,4,4.391554835166566
cs,25,5,1.704159262411187
ws,25,5,0.8933578885158521
cs,26,1,202.7384247172289
ws,26,1,177.3966591687587
cs,26,2,13.063564463677048
ws,26,2,18.55062578516736
cs,26,3,5.60059960462863
ws,26,3,6.3633294557723215
cs,26,4,3.9754318752562927
ws,26,4,4.380876557414969
cs,26,5,1.6608529856978866
ws,26,5,0.8185124752826699
cs,27,1,207.251502659766
ws,27,1,182.11621215139843
cs,27,2,13.199617373504227
ws,27,2,18.674970051584854
cs,27,3,5.510353598782809
ws,27,3,6.437866532085815
cs,27,4,3.9371548943056065
ws,27,4,4.375830239946933
cs,27,5,1.4750465345117416
ws,27,5,0.7765737052788868
cs,28,1,207.70871141975783
ws,28,1,182.64464217506523
cs,28,2,13.158527167406513
ws,28,2,18.73509344559607
cs,28,3,5.71123450607325
ws,28,3,6.671504630997962
cs,28,4,4.033103971721363
ws,28,4,4.452782818683608
cs,28,5,1.564259545511526
ws,28,5,0.8324614175429205
cs,29,1,205.39413052678992
ws,29,1,180.34810513440996
cs,29,2,12.9986070142151
ws,29,2,18.652092910616574
cs,29,3,5.968930901653326
ws,29,3,6.558862506968821
cs,29,4,4.163437171840753
ws,29,4,4.513165544725231
cs,29,5,1.7923482157702977
ws,29,5,1.0639431234009005
cs,30,1,204.423180971136
ws,30,1,179.5632173023387
cs,30,2,12.95572771297516
ws,30,2,18.55004665606691
cs,30,3,5.8377853978705
ws,30,3,6.499719630628794
cs,30,4,4.0971394992891295
ws,30,4,4.466369134313922
cs,30,5,1.751227210222816
ws,30,5,0.9805805758797084
cs,31,1,204.72407531790066
ws,31,1,179.62880075812086
cs,31,2,12.93037710019618
ws,31,2,18.500227416797927
cs,31,3,5.815081311539155
ws,31,3,6.486034829521675
cs,31,4,4.087416055839491
ws,31,4,4.461295935738486
cs,31,5,1.7461560712354647
ws,31,5,0.9699591817824283
cs,32,1,204.36987119273843
ws,32,1,178.85048376709082
cs,32,2,13.210831317926441
ws,32,2,18.778658200053055
cs,32,3,6.439802713155147
ws,32,3,6.951767691390174
cs,32,4,4.3995365991941835
ws,32,4,4.711000260602373
cs,32,5,2.0801700382320747
ws,32,5,1.4277662226091024
cs,33,1,205.95930312391414
ws,33,1,180.951989159156
cs,33,2,13.32853707063784
ws,33,2,19.028378305848356
cs,33,3,6.195895221422566
ws,33,3,6.738380067346163
cs,33,4,4.291062472337608
ws,33,4,4.61956724626072
cs,33,5,1.8438449571480442
ws,33,5,1.1702334864503245
cs,34,1,207.66028025607267
ws,34,1,182.52902784444257
cs,34,2,12.307277555303074
ws,34,2,17.754245000640303
cs,34,3,5.876190298655808
ws,34,3,6.5849606435451
cs,34,4,4.1371100552736975
ws,34,4,4.506373326926118
cs,34,5,1.8456728952720793
ws,34,5,1.016591051516467
cs,35,1,208.34958540610495
ws,35,1,183.6964625310086
cs,35,2,13.747505744226157
ws,35,2,19.612642457541533
cs,35,3,6.6966522144598
ws,35,3,7.206876129796982
cs,35,4,4.5740109896109615
ws,35,4,4.897104525158879
cs,35,5,2.1354557405641192
ws,35,5,1.5801607784473821
cs,36,1,204.76245472724173
ws,36,1,180.0059853693809
cs,36,2,13.348752958760496
ws,36,2,18.868810117466847
cs,36,3,6.229507739722551
ws,36,3,6.812020388134081
cs,36,4,4.296670643325884
ws,36,4,4.608472430931488
cs,36,5,1.8594589744885146
ws,36,5,1.1462835997978924
cs,37,1,204.59880360972915
ws,37,1,179.83528890431032
cs,37,2,13.49753383330537
ws,37,2,18.776204648199723
cs,37,3,6.566243927289136
ws,37,3,7.195381208962841
cs,37,4,4.4857819210675585
ws,37,4,4.802527296628869
cs,37,5,2.0701003586490145
ws,37,5,1.322626378799069
cs,38,1,202.63352262241813
ws,38,1,177.63007890235664
cs,38,2,12.73197851409343
ws,38,2,18.302832482097067
cs,38,3,5.638234139296629
ws,38,3,6.626393094193594
cs,38,4,4.014364783401577
ws,38,4,4.4438896749547405
cs,38,5,1.5965090834591775
ws,38,5,0.8202105434067959
cs,39,1,205.4416546897252
ws,39,1,180.38277197888414
cs,39,2,12.99058350867097
ws,39,2,18.646002537743563
cs,39,3,5.968800116235876
ws,39,3,6.557872209891504
cs,39,4,4.163288390595871
ws,39,4,4.512804574192355
cs,39,5,1.793112196491941
ws,39,5,1.06512383864725
cs,40,1,205.93798949264445
ws,40,1,180.71172008078003
cs,40,2,13.35725565272001
ws,40,2,19.12527876317963
cs,40,3,6.304905386153533
ws,40,3,6.796093600235625
cs,40,4,4.3307158740713785
ws,40,4,4.630679783438474
cs,40,5,1.9048015322564182
ws,40,5,1.2982005032507198
cs,41,1,205.2157373080673
ws,41,1,179.98705342288162
cs,41,2,13.057840103862796
ws,41,2,18.53520270376829
cs,41,3,5.678385199832001
ws,41,3,6.417573850634413
cs,41,4,4.019165748666974
ws,41,4,4.416964393349735
cs,41,5,1.6877721629295643
ws,41,5,0.8665221907343688
cs,42,1,204.2916950857689
ws,42,1,179.12302531296322
cs,42,2,12.698343685952599
ws,42,2,18.222224285938236
cs,42,3,5.6411265922231
ws,42,3,6.374409691006695
cs,42,4,3.9997072341176496
ws,42,4,4.393483726331164
cs,42,5,1.7108408471001073
ws,42,5,0.8942451678676636
cs,43,1,203.84616112959588
ws,43,1,179.0684785529505
cs,43,2,12.778627657483428
ws,43,2,18.57453348490158
cs,43,3,6.152411218770677
ws,43,3,6.6814418112641585
cs,43,4,4.271052017397739
ws,43,4,4.599404471126817
cs,43,5,1.8871374118912223
ws,43,5,1.2258443148152036
cs,44,1,205.5606716473254
ws,44,1,180.59062949424506
cs,44,2,13.110030212814001
ws,44,2,18.789321983795446
cs,44,3,6.067000121806383
ws,44,3,6.634668827188519
cs,44,4,4.215742378280023
ws,44,4,4.55354671149793
cs,44,5,1.8174075098228946
ws,44,5,1.116724666134355
cs,45,1,207.07237680050955
ws,45,1,181.94945800168094
cs,45,2,13.037042650545338
ws,45,2,18.73470338291732
cs,45,3,6.065104613439892
ws,45,3,6.678894446816477
cs,45,4,4.225413185738299
ws,45,4,4.570418402337452
cs,45,5,1.8283148443676993
ws,45,5,1.1023143200550747
cs,46,1,204.58905569237956
ws,46,1,179.5964278942541
cs,46,2,12.852641117376658
ws,46,2,18.53628380012227
cs,46,3,5.946896821861081
ws,46,3,6.531303174034772
cs,46,4,4.147337534555757
ws,46,4,4.4932918797047865
cs,46,5,1.7989213246788611
ws,46,5,1.0741441838085775
cs,47,1,204.62348147569833
ws,47,1,179.2369443609436
cs,47,2,12.744445096134895
ws,47,2,18.406326521936585
cs,47,3,6.2679156854897125
ws,47,3,6.734148399171516
cs,47,4,4.311351937939617
ws,47,4,4.602386566724452
cs,47,5,1.9379830778147842
ws,47,5,1.3004370710738544
cs,48,1,205.22197884850883
ws,48,1,180.1441994970971
cs,48,2,12.926372555246106
ws,48,2,18.585229109511943
cs,48,3,5.941796988618678
ws,48,3,6.540062425815367
cs,48,4,4.150633658514396
ws,48,4,4.503896023774214
cs,48,5,1.7903218775981202
ws,48,5,1.0544850515071795
cs,49,1,203.75818204027485
ws,49,1,178.67849392203885
cs,49,2,13.20449637302616
ws,49,2,18.985979884840923
cs,49,3,6.484409178150395
ws,49,3,6.954334843839123
cs,49,4,4.452077937044816
ws,49,4,4.747754755087851
cs,49,5,1.9861061473759312
ws,49,5,1.4402170720847005
cs,50,1,202.963170999611
ws,50,1,178.05148067227063
cs,50,2,12.727766247823688
ws,50,2,18.537432268151964
cs,50,3,6.24662130009335
ws,50,3,6.717046617474127
cs,50,4,4.305720688072051
ws,50,4,4.60454178782277
cs,50,5,1.9296533001406455
ws,50,5,1.3087813113182203
cs,51,1,206.33429327942042
ws,51,1,181.33941598322437
cs,51,2,13.154567950031726
ws,51,2,18.80603259169774
cs,51,3,6.032989809834143
ws,51,3,6.616719587092716
cs,51,4,4.198017126765039
ws,51,4,4.5420012105358385
cs,51,5,1.8001114757863068
ws,51,5,1.0848658476955362
cs,52,1,207.66274667239423
ws,52,1,182.80755543443365
cs,52,2,12.841137405568803
ws,52,2,18.47073755471872
cs,52,3,5.246793903396831
ws,52,3,6.428548289057142
cs,52,4,3.6759661232941476
ws,52,4,4.242267890749225
cs,52,5,1.2202803835193852
ws,52,5,0.589572580037188
cs,53,1,205.4292972234285
ws,53,1,180.4510210248522
cs,53,2,13.039644053911557
ws,53,2,18.657834320589796
cs,53,3,5.916821746447994
ws,53,3,6.537779658578595
cs,53,4,4.1379942938809835
ws,53,4,4.497601347249644
cs,53,5,1.7698744582794088
ws,53,5,1.0203052537258537
cs,54,1,205.43027706222566
ws,54,1,180.36991513674369
cs,54,2,12.990012872697966
ws,54,2,18.64587438223464
cs,54,3,5.970000699444278
ws,54,3,6.558359889948726
cs,54,4,4.163800688296806
ws,54,4,4.513039629646613
cs,54,5,1.793585294012111
ws,54,5,1.0661955511317034
cs,55,1,200.7515657864881
ws,55,1,176.0371998679362
cs,55,2,12.005513080845603
ws,55,2,17.43134621910613
cs,55,3,5.387643448716886
ws,55,3,6.2018842631706645
cs,55,4,3.9008619519075554
ws,55,4,4.300134908781145
cs,55,5,1.674059900988852
ws,55,5,0.8598717927505064
cs,56,1,205.3098431068453
ws,56,1,180.2789355355433
cs,56,2,12.964912196643358
ws,56,2,18.646791083735973
cs,56,3,5.995364217007318
ws,56,3,6.570048146983412
cs,56,4,4.175561843221803
ws,56,4,4.519055375332204
cs,56,5,1.8053418846213993
ws,56,5,1.0887619614009865
cs,57,1,205.23477216218004
ws,57,1,180.1991204834631
cs,57,2,12.999179029619846
ws,57,2,18.642771800525086
cs,57,3,5.9602773218937575
ws,57,3,6.5553296915160555
cs,57,4,4.159231354823717
ws,57,4,4.5106345174561815
cs,57,5,1.7892099862852504
ws,57,5,1.058139078596409
cs,58,1,203.80621434004826
ws,58,1,178.39896864682734
cs,58,2,12.296822730892474
ws,58,2,17.775970898600804
cs,58,3,5.362565968277474
ws,58,3,6.481470518143804
cs,58,4,3.812828851041083
ws,58,4,4.251101613579023
cs,58,5,1.4153538934390166
ws,58,5,0.7165991963023155
cs,59,1,205.0462858462067
ws,59,1,179.96995449239625
cs,59,2,13.008504879398235
ws,59,2,18.612231341584756
cs,59,3,5.887722761088409
ws,59,3,6.496025926858766
cs,59,4,4.111683837570749
ws,59,4,4.466161936785
cs,59,5,1.7600365196364973
ws,59,5,1.0146565778899224
cs,60,1,205.56368395771912
ws,60,1,180.49026128241175
cs,60,2,12.976098521040143
ws,60,2,18.638541718074855
cs,60,3,5.962164399258935
ws,60,3,6.550860486989469
cs,60,4,4.159459024204639
ws,60,4,4.509200028857008
cs,60,5,1.7921175713958961
ws,60,5,1.0621143611239199
cs,61,1,200.07315726834048
ws,61,1,175.1222031401229
cs,61,2,12.051742125561555
ws,61,2,17.60774979156529
cs,61,3,5.3114596897486495
ws,61,3,6.35802209199964
cs,61,4,3.8118970857101786
ws,61,4,4.253664757639537
cs,61,5,1.454755134601688
ws,61,5,0.7368293570653456
cs,62,1,206.32407179862443
ws,62,1,181.34970212495014
cs,62,2,13.073975650790064
ws,62,2,18.632963459432304
cs,62,3,5.987195981992275
ws,62,3,6.649916041765593
cs,62,4,4.17514246550035
ws,62,4,4.526293378907019
cs,62,5,1.7951113131674472
ws,62,5,1.0558180074946701
cs,63,1,201.85238968521512
ws,63,1,176.7340547981334
cs,63,2,12.716103783667823
ws,63,2,18.293858472211486
cs,63,3,5.806956110707412
ws,63,3,6.438004245312821
cs,63,4,4.065728075778642
ws,63,4,4.423664496991349
cs,63,5,1.7607825178471295
ws,63,5,1.0125587809163994
cs,64,1,205.88643433438395
ws,64,1,180.7976211074917
cs,64,2,12.695763520090683
ws,64,2,18.577901709111828
cs,64,3,6.1398629423520275
ws,64,3,6.6964144077314804
cs,64,4,4.28004781779232
ws,64,4,4.619661012349719
cs,64,5,1.8945419257084775
ws,64,5,1.2057258740732049
cs,65,1,201.59840739459597
ws,65,1,176.56056114112934
cs,65,2,12.316185234160272
ws,65,2,17.81913702200022
cs,65,3,5.697972491077159
ws,65,3,6.437509453874236
cs,65,4,3.9914637627085288
ws,65,4,4.352662300445087
cs,65,5,1.7162412970403522
ws,65,5,0.9421399364394463
cs,66,1,205.93799615415477
ws,66,1,181.16495344819847
cs,66,2,13.239666995610092
ws,66,2,18.813435801095274
cs,66,3,5.940851371345516
ws,66,3,6.569594510189893
cs,66,4,4.1548048773035395
ws,66,4,4.517600782010404
cs,66,5,1.7592118920594921
ws,66,5,1.007658752350715
cs,67,1,205.60814735726316
ws,67,1,180.32307249671746
cs,67,2,12.93401382334844
ws,67,2,18.71444710498536
cs,67,3,6.237806065682049
ws,67,3,6.729536930257983
cs,67,4,4.306335781769726
ws,67,4,4.615843476788856
cs,67,5,1.9023752159563747
ws,67,5,1.2826050262146564
cs,68,1,208.12493352059332
ws,68,1,183.34541723112582
cs,68,2,13.771364295780666
ws,68,2,19.4870324673907
cs,68,3,6.375746005029585
ws,68,3,6.8449397902127105
cs,68,4,4.398091813143815
ws,68,4,4.711109432972424
cs,68,5,1.8677809834225654
ws,68,5,1.236457390032955
cs,69,1,205.4410155837
ws,69,1,180.58033170092784
cs,69,2,13.184813149764027
ws,69,2,18.91035057307652
cs,69,3,6.084650804359049
ws,69,3,6.63484174166688
cs,69,4,4.224208457538041
ws,69,4,4.558700791361899
cs,69,5,1.8157604393404212
ws,69,5,1.1118257787162469
cs,70,1,204.44819319767976
ws,70,1,179.5404030749442
cs,70,2,12.94801619082198
ws,70,2,18.61604604178327
cs,70,3,5.942997704589659
ws,70,3,6.543909737859728
cs,70,4,4.153740430369078
ws,70,4,4.508966059191439
cs,70,5,1.789000185638692
ws,70,5,1.0483512946545823
cs,71,1,204.64596663473344
ws,71,1,179.84628255147953
cs,71,2,13.212146212569507
ws,71,2,19.072492597380812
cs,71,3,6.485073954366772
ws,71,3,6.942663447747213
cs,71,4,4.4508475206487965
ws,71,4,4.744728406877877
cs,71,5,1.993722918294806
ws,71,5,1.4220056069603337
cs,72,1,205.51304403160853
ws,72,1,180.4340499132879
cs,72,2,12.912265532117296
ws,72,2,18.57254975600674
cs,72,3,5.94469069784928
ws,72,3,6.547376617297415
cs,72,4,4.155494795408919
ws,72,4,4.510786414111215
cs,72,5,1.7935768494454272
ws,72,5,1.056294211414847
cs,73,1,204.4216898085044
ws,73,1,179.69458007775793
cs,73,2,12.566289292913401
ws,73,2,18.220761785959894
cs,73,3,5.733801053592993
ws,73,3,6.398001859742132
cs,73,4,4.049531924790507
ws,73,4,4.428211470468044
cs,73,5,1.755633296878276
ws,73,5,0.9624397146595283
cs,74,1,204.20590589234368
ws,74,1,179.158503536894
cs,74,2,12.819995186445949
ws,74,2,18.458090934032725
cs,74,3,5.935736430834146
ws,74,3,6.49431953117722
cs,74,4,4.127611562253412
ws,74,4,4.46407706885111
cs,74,5,1.795205095997062
ws,74,5,1.089323917173845
cs,75,1,203.7516243650844
ws,75,1,178.52801613351102
cs,75,2,12.956977797754003
ws,75,2,18.429463347864115
cs,75,3,6.0775934580700035
ws,75,3,6.679063358245663
cs,75,4,4.179914797146514
ws,75,4,4.479576118648584
cs,75,5,1.800769304698034
ws,75,5,1.0952165815963988
cs,76,1,205.87104166927242
ws,76,1,180.8345771402707
cs,76,2,13.142256077248614
ws,76,2,18.81516046789652
cs,76,3,6.036786106287725
ws,76,3,6.629681435059931
cs,76,4,4.20399202343201
ws,76,4,4.550089048744726
cs,76,5,1.8038622770949293
ws,76,5,1.0840506070884839
cs,77,1,206.82994209670392
ws,77,1,181.83671350111675
cs,77,2,13.133477247592298
ws,77,2,18.730746244030037
cs,77,3,5.640440764664901
ws,77,3,6.605652468001177
cs,77,4,4.067447099831335
ws,77,4,4.5011826573255815
cs,77,5,1.5912601313754953
ws,77,5,0.8169346539521986
cs,78,1,203.51072942712258
ws,78,1,178.36658595328623
cs,78,2,12.564460947481946
ws,78,2,17.962240174028665
cs,78,3,5.440276067012498
ws,78,3,6.566116721924491
cs,78,4,3.8354264371675018
ws,78,4,4.295713634181989
cs,78,5,1.34358543853961
ws,78,5,0.7159919850210815
cs,79,1,203.37896299389865
ws,79,1,178.67524890230018
cs,79,2,12.929683004224241
ws,79,2,18.43546246984617
cs,79,3,5.652665174687892
ws,79,3,6.449669660836504
cs,79,4,3.9945495162675653
ws,79,4,4.387602723585432
cs,79,5,1.6621393156124995
ws,79,5,0.8815972236112034
cs,80,1,207.93982347258634
ws,80,1,182.88949590882547
cs,80,2,13.651078942917197
ws,80,2,19.502890450276794
cs,80,3,6.473435007853409
ws,80,3,6.988634369136906
cs,80,4,4.419521487898213
ws,80,4,4.7469309077482045
cs,80,5,2.07094946550917
ws,80,5,1.5270728460723118
cs,81,1,203.84287671538343
ws,81,1,178.9119780135725
cs,81,2,12.968751881858072
ws,81,2,18.71428076164128
cs,81,3,6.174785505141709
ws,81,3,6.687508393716338
cs,81,4,4.2639294592076205
ws,81,4,4.5737151321817135
cs,81,5,1.8740514155772647
ws,81,5,1.2156821274521985
cs,82,1,203.88117559122026
ws,82,1,179.0091008720484
cs,82,2,12.48923641252838
ws,82,2,18.018324107745126
cs,82,3,5.454052863991446
ws,82,3,6.646595128957942
cs,82,4,3.8404955425885983
ws,82,4,4.286425975587104
cs,82,5,1.3556729355858237
ws,82,5,0.6827079038157899
cs,83,1,206.10957196747262
ws,83,1,180.99960015007224
cs,83,2,13.607932272316722
ws,83,2,19.102974892324625
cs,83,3,5.917568925618856
ws,83,3,6.528155398531626
cs,83,4,4.138245150491411
ws,83,4,4.504157930798984
cs,83,5,1.7147568097127956
ws,83,5,0.9567329446305854
cs,84,1,205.6604969549064
ws,84,1,180.5485670432127
cs,84,2,12.87530266549276
ws,84,2,18.388999350859244
cs,84,3,5.853011693343014
ws,84,3,6.641503158867617
cs,84,4,4.096641044386616
ws,84,4,4.469529836241752
cs,84,5,1.7026344717799309
ws,84,5,0.9502443213385954
cs,85,1,206.13572351721027
ws,85,1,181.27358132255225
cs,85,2,12.933127379630962
ws,85,2,18.435939007122254
cs,85,3,5.980347473541131
ws,85,3,6.678481532328297
cs,85,4,4.173448402597828
ws,85,4,4.528068860174334
cs,85,5,1.7903754132179708
ws,85,5,1.0263073199613806
cs,86,1,207.13336374363428
ws,86,1,181.92428308537413
cs,86,2,13.045579834608054
ws,86,2,18.67577976423142
cs,86,3,6.454846491447622
ws,86,3,6.949540782201401
cs,86,4,4.404897185726615
ws,86,4,4.71827154819311
cs,86,5,2.1227458941815436
ws,86,5,1.5255986536366548
cs,87,1,198.38227309227247
ws,87,1,172.92511114116598
cs,87,2,11.201228271616818
ws,87,2,16.452740349615112
cs,87,3,5.277002038137885
ws,87,3,6.090049434509634
cs,87,4,3.773981040539843
ws,87,4,4.163092843860931
cs,87,5,1.7090170801835525
ws,87,5,0.8776507266441264
cs,88,1,207.39855431625116
ws,88,1,182.4129468776319
cs,88,2,13.279919173177102
ws,88,2,18.893634974145478
cs,88,3,6.456875522368688
ws,88,3,6.961096573784631
cs,88,4,4.418898209750775
ws,88,4,4.724001857766213
cs,88,5,2.042422544899244
ws,88,5,1.3757756548982214
cs,89,1,208.40377466921692
ws,89,1,183.31154990131094
cs,89,2,13.773831765636018
ws,89,2,19.15799096799827
cs,89,3,6.558904483694288
ws,89,3,7.2054318069485985
cs,89,4,4.497405146562045
ws,89,4,4.807244278920938
cs,89,5,1.8568087218862441
ws,89,5,1.1678390851628542
cs,90,1,206.7931347837104
ws,90,1,181.7924864858183
cs,90,2,13.25749859963974
ws,90,2,18.871786547369926
cs,90,3,5.928862373855065
ws,90,3,6.729724741649138
cs,90,4,4.180999858581332
ws,90,4,4.573001443148465
cs,90,5,1.737269454157872
ws,90,5,0.9600021040450761
cs,91,1,205.46798225979649
ws,91,1,180.39931879516428
cs,91,2,12.978365415951952
ws,91,2,18.642833497485814
cs,91,3,5.9796773643508025
ws,91,3,6.561603708584167
cs,91,4,4.16787509826618
ws,91,4,4.514594494498659
cs,91,5,1.7981607518220566
ws,91,5,1.0756240331097597
cs,92,1,205.60964804738592
ws,92,1,180.5123909772826
cs,92,2,12.998065858756688
ws,92,2,18.642423145618604
cs,92,3,5.949180881651075
ws,92,3,6.545751824442775
cs,92,4,4.15223987779935
ws,92,4,4.5041310362387925
