type,sample_num,K,res
cs,1,1,207.85186295540072
ws,1,1,182.63736054917916
cs,1,2,13.33154532334332
ws,1,2,19.14760606881315
cs,1,3,6.538275625987571
ws,1,3,7.0021622942343384
cs,1,4,4.485817629727658
ws,1,4,4.7812508233102875
cs,1,5,2.0114267347987225
ws,1,5,1.3975475855135366
cs,2,1,204.3403704722059
ws,2,1,178.57691731962396
cs,2,2,12.785046884046274
ws,2,2,18.019332352033114
cs,2,3,6.2697134112710335
ws,2,3,6.850430297173876
cs,2,4,4.296948305696937
ws,2,4,4.592415263658946
cs,2,5,1.9580926508611776
ws,2,5,1.221189908182228
cs,3,1,210.1994120541031
ws,3,1,185.1060959915635
cs,3,2,13.439781310610867
ws,3,2,18.934577087988576
cs,3,3,5.9668553351822
ws,3,3,7.004850218422515
cs,3,4,4.15519064584987
ws,3,4,4.589733335787309
cs,3,5,1.5281898766845265
ws,3,5,0.8194585900992396
cs,4,1,203.66612753221747
ws,4,1,178.4840514886176
cs,4,2,12.763667187560714
ws,4,2,18.263856954891256
cs,4,3,5.843598209582346
ws,4,3,6.561740617338963
cs,4,4,4.090052182170229
ws,4,4,4.451468461539028
cs,4,5,1.7534053699012608
ws,4,5,0.9904748743536049
cs,5,1,205.06686882840503
ws,5,1,179.99424771063266
cs,5,2,13.03028359782521
ws,5,2,18.594079221795813
cs,5,3,5.8820144208382645
ws,5,3,6.516580371576041
cs,5,4,4.1148200256728025
ws,5,4,4.476174452471309
cs,5,5,1.7573866241920597
ws,5,5,1.006709576576484
cs,6,1,204.57528730861983
ws,6,1,179.44090097935705
cs,6,2,13.16975221443325
ws,6,2,18.968147811237582
cs,6,3,6.32684439374679
ws,6,3,6.794711512700717
cs,6,4,4.346314897963559
ws,6,4,4.6392894775352165
cs,6,5,1.9233436488767697
ws,6,5,1.3179832320929024
cs,7,1,205.45956836300533
ws,7,1,180.46786073589448
cs,7,2,13.022264992547317
ws,7,2,18.64952104891239
cs,7,3,5.931754844978744
ws,7,3,6.558283972926071
cs,7,4,4.149688041144052
ws,7,4,4.509809522583777
cs,7,5,1.7781546856942336
ws,7,5,1.0305134561126197
cs,8,1,205.41053927895953
