sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,mosek_tol,sdp_canontime,orig_m,orig_n,z_dim,c_mul,K,init_type,seed
214.1854782560005,54.525956605095416,6,136,9316,5161,17,18380,1e-07,23.957481622695923,10,5,25,10,1,cs,0
179.32987791095292,64.19246335187927,6,136,9316,5161,17,18380,1e-07,23.57121729850769,10,5,25,10,1,heur,0
189.09335200711666,37.111986248986796,6,136,9316,5161,17,18380,1e-07,23.522077560424805,10,5,25,10,1,ws,0
14.852806456756724,343.92179278098047,15,211,22366,11551,17,44350,1e-07,64.56858038902283,10,5,25,10,2,cs,0
20.401060758498616,253.1235130468849,15,211,22366,11551,17,44350,1e-07,62.00746512413025,10,5,25,10,2,heur,0
20.747701116028797,272.25648754718713,15,211,22366,11551,17,44350,1e-07,62.52740025520325,10,5,25,10,2,ws,0
7.1733866273584965,1167.0338826440275,30,286,41041,19191,17,81570,1e-07,121.21888756752014,10,5,25,10,3,cs,0
9.10929743591052,1367.4371710419655,30,286,41041,19191,17,81570,1e-07,122.04427933692932,10,5,25,10,3,heur,0
7.766003256544572,1454.6248395340517,30,286,41041,19191,17,81570,1e-07,135.4716067314148,10,5,25,10,3,ws,0
4.860998559146964,5190.572356160032,51,361,65341,28081,17,130040,1e-07,224.37329173088074,10,5,25,10,4,cs,0
6.157154100930072,4681.924587843008,51,361,65341,28081,17,130040,1e-07,220.0773208141327,10,5,25,10,4,heur,0
5.267267714763122,4311.855492437957,51,361,65341,28081,17,130040,1e-07,204.76750302314758,10,5,25,10,4,ws,0
3.02536241418224,9879.036168719875,78,436,95266,38221,17,189760,1e-07,349.88771295547485,10,5,25,10,5,cs,0
3.2207347555736305,8726.208539830986,78,436,95266,38221,17,189760,1e-07,371.7826132774353,10,5,25,10,5,heur,0
2.7032234491735636,7582.911096883938,78,436,95266,38221,17,189760,1e-07,335.3885090351105,10,5,25,10,5,ws,0
