sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,sdp_canontime,orig_m,orig_n,z_dim,K,init_type,seed
57.42800158635488,34.55336161504965,6,136,9316,5161,17,18400,24.93488597869873,10,5,25,1,cs,1
49.30411428344206,34.05504766700324,6,136,9316,5161,17,18400,24.85987663269043,10,5,25,1,heur,1
54.862752072219955,47.07556399703026,6,136,9316,5161,17,18400,24.698493003845215,10,5,25,1,ws,1
6.826873171283516,371.2785245680134,15,211,22366,11551,17,44390,67.94611120223999,10,5,25,2,cs,1
7.735200292693552,379.74583448894555,15,211,22366,11551,17,44390,68.14397597312927,10,5,25,2,heur,1
7.44023255088363,369.83283649000805,15,211,22366,11551,17,44390,68.44814658164978,10,5,25,2,ws,1
5.78699461578822,1479.416569051973,30,286,41041,19191,17,81630,132.252831697464,10,5,25,3,cs,1
6.118539786247453,1339.063666194037,30,286,41041,19191,17,81630,132.47378015518188,10,5,25,3,heur,1
6.183314489554581,1375.7003610079992,30,286,41041,19191,17,81630,133.07417964935303,10,5,25,3,ws,1
4.980585277785741,4312.4333822979825,51,361,65341,28081,17,130120,221.17749047279358,10,5,25,4,cs,1
4.942553467098588,3664.2146462589735,51,361,65341,28081,17,130120,221.5792167186737,10,5,25,4,heur,1
4.807127718202985,4655.323779113998,51,361,65341,28081,17,130120,221.70124411582947,10,5,25,4,ws,1
