sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,mosek_tol,sdp_canontime,orig_m,orig_n,z_dim,c_mul,K,init_type,seed
216.42196024718575,54.68519600806758,6,136,9316,5161,17,18400,1e-07,22.931905269622803,10,5,25,10,1,cs,0
181.54423168476882,51.66639151307754,6,136,9316,5161,17,18400,1e-07,22.983603477478027,10,5,25,10,1,heur,0
191.32344753150397,40.10311293997802,6,136,9316,5161,17,18400,1e-07,22.771589279174805,10,5,25,10,1,ws,0
15.338233457120666,246.087492184015,15,211,22366,11551,17,44390,1e-07,62.87923192977905,10,5,25,10,2,cs,0
20.88320101100566,255.5647502199281,15,211,22366,11551,17,44390,1e-07,63.80319023132324,10,5,25,10,2,heur,0
21.28174909252328,317.28070658491924,15,211,22366,11551,17,44390,1e-07,64.15438222885132,10,5,25,10,2,ws,0
7.484575746822415,1427.6486185158137,30,286,41041,19191,17,81630,1e-07,122.22400069236755,10,5,25,10,3,cs,0
9.455664117567444,1125.7608896780293,30,286,41041,19191,17,81630,1e-07,124.75312614440918,10,5,25,10,3,heur,0
8.167523885712328,1417.9687356778886,30,286,41041,19191,17,81630,1e-07,123.69510531425476,10,5,25,10,3,ws,0
5.09521241314485,3596.787123868009,51,361,65341,28081,17,130120,1e-07,208.8065915107727,10,5,25,10,4,cs,0
6.403067361282012,3421.470279334113,51,361,65341,28081,17,130120,1e-07,206.2208354473114,10,5,25,10,4,heur,0
5.549504625723003,4372.88519458822,51,361,65341,28081,17,130120,1e-07,209.93386435508728,10,5,25,10,4,ws,0
6.796291921965079,8386.318757714005,78,436,95266,38221,17,189860,1e-07,334.7327399253845,10,5,25,10,5,cs,0
4.534143815460908,9067.835118656978,78,436,95266,38221,17,189860,1e-07,340.05086970329285,10,5,25,10,5,heur,0
5.039084088277463,9879.641860353062,78,436,95266,38221,17,189860,1e-07,363.9601790904999,10,5,25,10,5,ws,0
