sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,mosek_tol,sdp_canontime,orig_m,orig_n,z_dim,c_mul,K,init_type,seed
216.42196176329935,68.81334459478967,6,136,9316,5161,17,18400,1e-08,25.241257429122925,10,5,25,10,1,cs,0
181.54422684167636,65.02134894090705,6,136,9316,5161,17,18400,1e-08,23.102069854736328,10,5,25,10,1,heur,0
191.32344753150397,45.20408078795299,6,136,9316,5161,17,18400,1e-08,24.858502864837646,10,5,25,10,1,ws,0
15.3382404529345,284.9307711981237,15,211,22366,11551,17,44390,1e-08,63.18439221382141,10,5,25,10,2,cs,0
20.883199534822793,295.107700107852,15,211,22366,11551,17,44390,1e-08,63.542075872421265,10,5,25,10,2,heur,0
21.281761709649704,373.9203810431063,15,211,22366,11551,17,44390,1e-08,63.3336615562439,10,5,25,10,2,ws,0
7.484760063414754,1885.8236555708572,30,286,41041,19191,17,81630,1e-08,123.63843059539795,10,5,25,10,3,cs,0
9.455726906111202,1234.2797752241604,30,286,41041,19191,17,81630,1e-08,130.6242823600769,10,5,25,10,3,heur,0
8.167931682523601,1861.1607011689339,30,286,41041,19191,17,81630,1e-08,122.87873315811157,10,5,25,10,3,ws,0
5.0980911885691,5145.394752508961,51,361,65341,28081,17,130120,1e-08,222.7946162223816,10,5,25,10,4,cs,0
6.397226282695385,4978.058527031913,51,361,65341,28081,17,130120,1e-08,230.09863352775574,10,5,25,10,4,heur,0
5.550517885712935,5546.633252511034,51,361,65341,28081,17,130120,1e-08,206.70188999176025,10,5,25,10,4,ws,0
