Init.,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
CS,1,$2.16 \times 10^{2}$,$2.15 \times 10^{2}$,$2.90 \times 10^{2}$,$5.47 \times 10^{1}$,25.39,26.06
,2,$1.53 \times 10^{1}$,$1.47 \times 10^{1}$,$1.42 \times 10^{2}$,$2.46 \times 10^{2}$,89.17,89.64
,3,7.48,7.29,$7.25 \times 10^{1}$,$1.43 \times 10^{3}$,89.67,89.95
,4,5.10,4.92,$3.31 \times 10^{1}$,$3.60 \times 10^{3}$,84.59,85.12
,5,6.80,2.64,$1.98 \times 10^{1}$,$8.39 \times 10^{3}$,65.71,86.69
WS,1,$1.91 \times 10^{2}$,$1.89 \times 10^{2}$,$2.44 \times 10^{2}$,$4.01 \times 10^{1}$,21.59,22.42
,2,$2.13 \times 10^{1}$,$2.03 \times 10^{1}$,$9.81 \times 10^{1}$,$3.17 \times 10^{2}$,78.30,79.31
,3,8.17,7.79,$3.01 \times 10^{1}$,$1.42 \times 10^{3}$,72.85,74.09
,4,5.55,5.22,$1.96 \times 10^{1}$,$4.37 \times 10^{3}$,71.75,73.44
,5,5.04,2.22,$1.42 \times 10^{1}$,$9.88 \times 10^{3}$,64.47,84.37
HS,1,$1.82 \times 10^{2}$,$1.80 \times 10^{2}$,$2.66 \times 10^{2}$,$5.17 \times 10^{1}$,31.74,32.49
,2,$2.09 \times 10^{1}$,$2.03 \times 10^{1}$,$1.19 \times 10^{2}$,$2.56 \times 10^{2}$,82.42,82.95
,3,9.46,9.24,$5.65 \times 10^{1}$,$1.13 \times 10^{3}$,83.27,83.66
,4,6.40,6.19,$2.83 \times 10^{1}$,$3.42 \times 10^{3}$,77.36,78.11
,5,4.53,2.89,$1.71 \times 10^{1}$,$9.07 \times 10^{3}$,73.52,83.10
