sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,sdp_canontime,orig_m,orig_n,z_dim,c_mul,K,init_type,seed
2.761600987966659,6137.942833002016,78,436,95266,38221,17,189860,346.4943251609802,10,5,25,10,5,cs,0
2.6618085120982897,6427.362892064033,78,436,95266,38221,17,189860,344.8305039405823,10,5,25,10,5,heur,0
4.054919576771738,6786.465978276043,78,436,95266,38221,17,189860,346.32206988334656,10,5,25,10,5,ws,0
