Init.,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
CS,1,214.1854783,212.6575297,289.946982,54.52595661,1.353719143,1.363445641
,2,14.85280646,14.31054543,141.4334359,343.9217928,9.5223375,9.8831618
,3,7.173386627,7.027560884,72.39475141,1167.033883,10.09213014,10.30154738
,4,4.860998559,4.763961136,33.03774646,5190.572356,6.796493777,6.934931985
,5,3.025362414,2.425036056,19.80703477,9879.036169,6.546995718,8.16772795
WS,1,189.093352,187.4933074,243.7673238,37.11198625,1.289137462,1.300138801
,2,20.74770112,19.97016749,97.84548002,272.2564875,4.715967301,4.899582343
,3,7.766003257,7.539445267,56.42541378,1454.62484,7.265695354,7.484027244
,4,5.267267715,5.079194629,19.36738719,4311.855492,3.676932375,3.813082311
,5,2.703223449,1.959800482,14.1000546,7582.911097,5.216015199,7.194637783
HS,1,179.3298779,177.7508833,265.8418624,64.19246335,1.482418131,1.495586731
,2,20.40106076,19.90299291,118.6888174,253.123513,5.817776771,5.963365306
,3,9.109297436,8.945575012,29.24613209,1367.437171,3.210580431,3.269340657
,4,6.157154101,6.040071924,28.25158911,4681.924588,4.588416766,4.677359717
,5,3.220734756,2.672606804,17.1072171,8726.20854,5.311588316,6.400947969
