Init.,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
CS,1,216.4219602,214.501394,290.0869009,54.68519601,25.39409412,26.05615995
,2,15.33823346,14.660358,141.5654023,246.0874922,89.16526693,89.64410953
,3,7.484575747,7.286997,72.47711971,1427.648619,89.67318821,89.94579665
,4,5.095212413,4.918715,33.06314343,3596.787124,84.58944951,85.12326872
,5,6.796291922,2.638061,19.82208439,8386.318758,65.71353553,86.69130376
WS,1,191.3234475,189.311996,244.010152,40.10311294,21.59201328,22.41634437
,2,21.28174909,20.294893,98.07483084,317.2807066,78.3004988,79.30672648
,3,8.167523886,7.793069,30.07975738,1417.968736,72.8471085,74.09198186
,4,5.549504626,5.217749,19.64720256,4372.885195,71.75422502,73.4427892
,5,5.039084088,2.21624,14.18181557,9879.64186,64.46799028,84.37266379
HS,1,181.5442317,179.559128,265.9707614,51.66639151,31.74278603,32.48914765
,2,20.88320101,20.255146,118.8104886,255.5647502,82.4230998,82.95171896
,3,9.455664118,9.23766,56.5251247,1125.76089,83.2717501,83.65742659
,4,6.403067361,6.192618,28.28336257,3421.470279,77.36101093,78.10508568
,5,4.534143815,2.894124,17.12236653,9067.835119,73.5191756,83.09740657
