type,K,sample_num,res
cs,1,500,211.49826340168568
cs,2,500,14.198283924053834
cs,3,500,6.680790488034127
cs,4,500,4.567161862167327
cs,5,500,2.201462367820479
heur,1,500,176.83410402164193
heur,2,500,19.680863348028907
heur,3,500,8.552563069011063
heur,4,500,5.848319966017262
heur,5,500,2.412445052107045
ws,1,500,186.41048109989848
ws,2,500,19.72739467454745
ws,3,500,7.162465287772983
ws,4,500,4.874440399168437
ws,5,500,1.6299057979807574
