sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,sdp_canontime,orig_m,orig_n,z_dim,c_mul,K,init_type,seed
216.42196024718575,61.70323541702237,6,136,9316,5161,17,18400,24.884230136871338,10,5,25,10,1,cs,0
181.54423168476882,57.97279290901497,6,136,9316,5161,17,18400,25.51320481300354,10,5,25,10,1,heur,0
191.32549365018366,43.64458048297092,6,136,9316,5161,17,18400,25.44741988182068,10,5,25,10,1,ws,0
15.338233457120666,267.0888709509745,15,211,22366,11551,17,44390,69.26618146896362,10,5,25,10,2,cs,0
20.88320101100566,275.30432395194657,15,211,22366,11551,17,44390,68.31714010238647,10,5,25,10,2,heur,0
21.281657018933114,328.01503829006106,15,211,22366,11551,17,44390,68.31119418144226,10,5,25,10,2,ws,0
7.480647653044947,1418.577001550002,30,286,41041,19191,17,81630,133.18684911727905,10,5,25,10,3,cs,0
9.453529304846654,1094.8042736849748,30,286,41041,19191,17,81630,132.42869067192078,10,5,25,10,3,heur,0
8.16339388730212,1437.2759277320001,30,286,41041,19191,17,81630,132.51187205314636,10,5,25,10,3,ws,0
5.0683285513497225,3707.263027988025,51,361,65341,28081,17,130120,223.87281894683838,10,5,25,10,4,cs,0
6.402328685688488,3406.8097475620452,51,361,65341,28081,17,130120,221.84685969352722,10,5,25,10,4,heur,0
5.530011567674862,4225.985936030978,51,361,65341,28081,17,130120,227.28415393829346,10,5,25,10,4,ws,0
5.395577031928127,9372.4343749939,78,436,95266,38221,17,189860,444.0574314594269,10,5,25,10,5,cs,0
5.506347328114543,9423.812207435956,78,436,95266,38221,17,189860,449.26773738861084,10,5,25,10,5,heur,0
4.603093293775714,11548.006354172016,78,436,95266,38221,17,189860,458.03498792648315,10,5,25,10,5,ws,0
