sdp_objval,sdp_solvetime,num_cones,x_dim,num_Aeq,Aeq_nnz,num_Au,Au_nnz,num_Al,Al_nnz,sdp_canontime,orig_m,orig_n,z_dim,K,warm_start
3.046485861970084,21.264339121000376,14,4465,2681,12801,14,41,8764,20880,12.3338463306427,3,4,36,1,False
2.8816514627401038,21.263163203999284,14,4465,2681,12801,14,47,8764,21929,12.762336492538452,3,4,36,1,True
0.13680798050912113,97.66049174699583,39,11935,6030,28349,14,41,23606,59562,34.96500825881958,3,4,36,2,False
0.16234438192596312,113.27838343099575,39,11935,6030,28349,14,47,23606,61506,34.24741792678833,3,4,36,2,True
0.0896401498766719,424.8112242960051,76,23005,10054,46657,14,41,45648,119376,74.17005062103271,3,4,36,3,False
0.07928861628584638,410.81435880300705,76,23005,10054,46657,14,47,45648,122160,73.42675566673279,3,4,36,3,True
0.06820008728275218,956.7008845410019,125,37675,14753,67725,14,41,74890,200130,125.75837588310242,3,4,36,4,False
0.051991570593114766,793.0766471230017,125,37675,14753,67725,14,47,74890,203754,122.50195741653442,3,4,36,4,True
0.06209921220946546,1309.5544712859992,186,55945,20127,91553,14,41,111332,301824,157.04238939285278,3,4,36,5,False
0.026838613808115808,1327.000997123003,186,55945,20127,91553,14,47,111332,306288,155.41250133514404,3,4,36,5,True
