type,K,tau
cs,1,194.86036839721044
ws,1,140.91734502970291
heur,1,169.5378166666526
cs,2,107.371010238786
ws,2,56.49940763554599
heur,2,83.51234141590672
cs,3,55.990529808520265
ws,3,16.450346666329047
heur,3,42.9259681732128
cs,4,23.945163024749533
ws,4,11.04670825941451
heur,4,19.437892009121516
cs,5,14.264844097035878
ws,5,8.110498863071825
heur,5,11.65095121582041
