type,K,tau
cs,1,289.9394989970299
ws,1,243.60828167509123
heur,1,265.7641309289705
cs,2,141.4263781893996
ws,2,97.6952637079033
heur,2,118.6154443431457
cs,3,72.39034402714675
ws,3,28.616535878400967
heur,3,56.36516888218388
cs,4,33.03638805427032
ws,4,19.155321297396178
heur,4,28.23238180369167
cs,5,19.806229598346746
ws,5,14.037011875651647
heur,5,17.098076545136152
