sdp_objval,sdp_solvetime,num_cones,x_dim,num_Aeq,Aeq_nnz,num_Au,Au_nnz,num_Al,Al_nnz,sdp_canontime,orig_m,orig_n,z_dim,K,warm_start
4.463633869448358,33.169743122009095,14,6328,3837,17007,17,49,12454,29268,21.138633966445923,3,5,45,1,False
3.3441298488729836,40.206815547979204,14,6328,3837,17007,17,58,12454,31570,21.175976276397705,3,5,45,1,True
0.30185566732260893,181.86767532600788,39,17020,8639,37745,17,49,33716,84101,59.434614419937134,3,5,45,2,False
0.25904544963124243,199.0450429819757,39,17020,8639,37745,17,58,33716,88830,59.2819721698761,3,5,45,2,True
0.22038262678973475,683.2091045480047,76,32896,14413,62227,17,49,65346,169419,103.40392971038818,3,5,45,3,False
0.17773322348755732,654.8182181500015,76,32896,14413,62227,17,58,65346,175883,94.32456135749817,3,5,45,3,True
0.1534779906718533,1303.2739092550037,125,53956,21159,90453,17,49,107344,284617,159.42920970916748,3,5,45,4,False
0.11948278297659018,1281.9692799530021,125,53956,21159,90453,17,58,107344,292953,153.91081380844116,3,5,45,4,True
