type,sample_num,K,res
cs,1,1,207.3519719765024
ws,1,1,182.1676154661838
heur,1,1,172.28020145061737
cs,1,2,13.255549131792877
ws,1,2,19.088166413704585
heur,1,2,18.62427434899344
cs,1,3,6.447709546814356
ws,1,3,6.909459906972601
heur,1,3,8.289188638461505
cs,1,4,4.432279161696264
ws,1,4,4.72474769290662
heur,1,4,5.70771980025323
cs,1,5,1.9532222665428143
ws,1,5,1.3435347176566637
heur,1,5,2.1500713255826978
cs,2,1,204.5388614631087
ws,2,1,178.91539132588568
heur,2,1,169.53660566912095
cs,2,2,12.840268950697864
ws,2,2,18.16211514307492
heur,2,2,17.982344115071907
cs,2,3,6.242438507672859
ws,2,3,6.780320564051189
heur,2,3,8.0446472435623
cs,2,4,4.285631868746907
ws,2,4,4.574668855001936
heur,2,4,5.535402441090476
cs,2,5,1.9379443548050204
ws,2,5,1.204819299154895
heur,2,5,2.0748463729188127
cs,3,1,209.21270441349046
ws,3,1,184.12532410161708
heur,3,1,174.39802070384914
cs,3,2,13.37610727516589
ws,3,2,18.90588664147273
heur,3,2,18.705449798141878
cs,3,3,5.936799461636779
ws,3,3,6.88008701040092
heur,3,3,7.759815241809416
cs,3,4,4.158541425091338
ws,3,4,4.571259968694089
heur,3,4,5.404694170257995
cs,3,5,1.5986497815737768
ws,3,5,0.8737269244029631
heur,3,5,1.7188836071598497
cs,4,1,204.01414378569223
ws,4,1,178.85576763529883
heur,4,1,169.23673671219143
cs,4,2,12.835135318105868
ws,4,2,18.38270780085912
heur,4,2,18.083485998028934
cs,4,3,5.87744663898886
ws,4,3,6.551382001455901
heur,4,3,7.656124713208443
cs,4,4,4.108004445777928
ws,4,4,4.462627217923321
heur,4,4,5.345338842255908
cs,4,5,1.778286333376149
ws,4,5,1.0200336110144905
heur,4,5,1.9098222630704318
cs,5,1,205.13875634301715
ws,5,1,180.06796227728344
heur,5,1,170.43677596183704
cs,5,2,13.021604400298285
ws,5,2,18.605000500874745
heur,5,2,18.4308239223088
cs,5,3,5.89965608462065
ws,5,3,6.523844147468752
heur,5,3,7.7022744444151545
cs,5,4,4.1245988277945616
ws,5,4,4.483548655043049
heur,5,4,5.373162645629888
cs,5,5,1.7645907892226553
ws,5,5,1.0183946625409128
heur,5,5,1.9371534169599076
cs,6,1,204.74090148701623
ws,6,1,179.6206615235441
heur,6,1,169.9525355292047
cs,6,2,13.130319507491356
ws,6,2,18.92954506927337
heur,6,2,18.501378209006244
cs,6,3,6.264102368162827
ws,6,3,6.743546299804924
heur,6,3,8.098565932635768
cs,6,4,4.313061593825196
ws,6,4,4.612163945960402
heur,6,4,5.581749176791164
cs,6,5,1.8912843475701735
ws,6,5,1.273938134005569
heur,6,5,2.0772345966470183
cs,7,1,205.45347844733718
