Init.,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
CS,1,216.422,214.501,290.087,54.685,25.394,26.056
,2,15.338,14.66,141.565,246.087,89.165,89.644
,3,7.485,7.287,72.477,1427.649,89.673,89.946
,4,5.095,4.919,33.063,3596.787,84.589,85.123
,5,6.796,2.638,19.822,8386.319,65.714,86.691
WS,1,191.323,189.312,244.01,40.103,21.592,22.416
,2,21.282,20.295,98.075,317.281,78.3,79.307
,3,8.168,7.793,30.08,1417.969,72.847,74.092
,4,5.55,5.218,19.647,4372.885,71.754,73.443
,5,5.039,2.216,14.182,9879.642,64.468,84.373
HS,1,181.544,179.559,265.971,51.666,31.743,32.489
,2,20.883,20.255,118.81,255.565,82.423,82.952
,3,9.456,9.238,56.525,1125.761,83.272,83.657
,4,6.403,6.193,28.283,3421.47,77.361,78.105
,5,4.534,2.894,17.122,9067.835,73.519,83.097
