sdp_objval,sdp_solvetime,num_cones,x_dim,num_Aeq,Aeq_nnz,num_Au,Au_nnz,num_Al,Al_nnz,sdp_canontime,orig_m,orig_n,z_dim,K,warm_start
4.144361160692529,28.710343481972814,14,4465,2681,12801,14,41,8764,20692,13.02691125869751,3,4,36,1,False
3.3730328802152503,33.68744871101808,14,4465,2681,12801,14,47,8764,21929,13.026955366134644,3,4,36,1,True
0.0923555766659262,165.59608799102716,39,11935,6030,28349,14,41,23606,58896,35.99283242225647,3,4,36,2,False
0.11255044927221425,147.13176226901123,39,11935,6030,28349,14,47,23606,61145,36.03372573852539,3,4,36,2,True
0.06630193593671868,621.1752362180268,76,23005,10054,46657,14,41,45648,118350,81.32772016525269,3,4,36,3,False
0.054338167776448176,598.9120391040342,76,23005,10054,46657,14,47,45648,121559,80.74533486366272,3,4,36,3,True
0.0473095171355446,769.9856140610063,125,37675,14753,67725,14,41,74890,198744,105.34203004837036,3,4,36,4,False
0.03547848693404271,685.1794896610081,125,37675,14753,67725,14,47,74890,202913,96.16303062438965,3,4,36,4,True
0.03619389852449223,2428.882518145023,186,55945,20127,91553,14,41,111332,300078,219.17542505264282,3,4,36,5,False
0.022958546700903804,2474.6836489059497,186,55945,20127,91553,14,47,111332,305207,208.09311771392822,3,4,36,5,True
