type,K,tau
cs,1,27.90918832948955
ws,1,4.698268070937953
cs,2,6.977296997099438
ws,2,1.174566998952186
cs,3,2.964221615731846
ws,3,0.4990008322525543
cs,4,1.406002653092422
ws,4,0.23668830883552194
cs,5,0.7053011776661235
ws,5,0.11873129962802187
