K,rho,g_obj,g_solve_time,sdp_obj,sdp_solve_time,min_max
2,1.0,0.2559433126498416,0.024721860885620117,1.4538499801536582,0.10158801078796387,max
2,1.0,0.042248176238822224,0.00786900520324707,0.04150130449901418,0.060389041900634766,min
2,5.0,0.05469510080750975,0.025088071823120117,0.13503184237678031,0.05775785446166992,max
2,5.0,0.03864212879556492,0.006609201431274414,0.03804565091563466,0.0523838996887207,min
2,7.8325,0.04476103923706587,0.019507884979248047,0.08046212114178598,0.04770803451538086,max
2,7.8325,0.03635667243119138,0.0072400569915771484,0.03601599829820436,0.05590009689331055,min
2,10.0,0.04211474240208213,0.021433115005493164,0.06381130641124473,0.05112004280090332,max
2,10.0,0.034741902267630714,0.00545501708984375,0.0347419069860754,0.050061941146850586,min
2,25.0,0.030801245959188164,0.011196136474609375,0.034129682856263,0.05555605888366699,max
2,25.0,0.026086708114312573,0.0007619857788085938,0.026100080461882235,0.09588909149169922,min
3,1.0,0.21107131452082428,0.03968000411987305,2.151807197588985,0.09395194053649902,max
3,1.0,0.04176132170162755,0.00448918342590332,0.033672669645147785,0.09441399574279785,min
3,5.0,0.04820673659697272,0.03020000457763672,0.15939138719999507,0.07815098762512207,max
3,5.0,0.03632637219345608,0.0037620067596435547,0.035397284977831185,0.16018199920654297,min
3,7.8325,0.03866554694264068,0.029134035110473633,0.089147826489296,0.07410502433776855,max
3,7.8325,0.03312325954012951,0.002768993377685547,0.03291090597876808,0.1470940113067627,min
3,10.0,0.036065164176502296,0.02551889419555664,0.06768666089062095,0.09282398223876953,max
3,10.0,0.030918797537160453,0.004143953323364258,0.03093812174878511,0.16974496841430664,min
3,25.0,0.023220981185744144,0.012900829315185547,0.02859921006845216,0.15282392501831055,max
3,25.0,0.01991034436735034,0.0021469593048095703,0.020057726860974293,0.14086484909057617,min
4,1.0,0.18707731430331087,0.051614999771118164,2.6618363101466196,0.12058305740356445,max
4,1.0,0.04121489481989926,0.0046617984771728516,0.024157135128239297,0.1189570426940918,min
4,5.0,0.04014196302984041,0.05265498161315918,0.1704588353648851,0.10709309577941895,max
4,5.0,0.03431933267567833,0.003377199172973633,0.03291534349961805,0.16104388236999512,min
4,7.8325,0.035364795823895734,0.03683900833129883,0.08718928767696651,0.11724591255187988,max
4,7.8325,0.030332664555972833,0.002440929412841797,0.030202429176498433,0.18086791038513184,min
4,10.0,0.03224494818851209,0.027028799057006836,0.06495006247642147,0.2571558952331543,max
4,10.0,0.02765130603300514,0.0043468475341796875,0.02782135120855283,0.1548168659210205,min
4,25.0,0.017751258949405324,0.018561124801635742,0.023720191892459205,0.1442410945892334,max
4,25.0,0.015222511047373821,0.008608818054199219,0.015519773446173994,0.24104595184326172,min
5,1.0,0.15603239173945038,0.0940239429473877,3.237138732325138,0.18963098526000977,max
5,1.0,0.040606702515144644,0.0058710575103759766,0.014991533822502566,0.4217078685760498,min
5,5.0,0.037719687682924774,0.09010100364685059,0.1843119671565247,0.17699217796325684,max
5,5.0,0.032429007516107,0.00714111328125,0.0315400512564281,0.40265393257141113,min
5,7.8325,0.03238343016147205,0.08351492881774902,0.08825254881664217,0.5371549129486084,max
5,7.8325,0.027775711919394097,0.005721092224121094,0.028804273775196655,0.18329501152038574,min
5,10.0,0.02883487363363557,0.023945093154907227,0.06271476856490836,0.2279069423675537,max
5,10.0,0.024727259894682718,0.0025169849395751953,0.025690260430251816,0.1661241054534912,min
5,25.0,0.013570980862601445,0.019198894500732422,0.018459366604207002,0.3089299201965332,max
5,25.0,0.0116377576761304,0.002421140670776367,0.01260448346784377,0.15761804580688477,min
