Sched,K,SDP obj,Sample Obj,PEP obj,SDP solve time(s),SDP improv,Samp improv
Non-strong,1,131.7762111,130.9616454,376.7908807,74.77969631,65.0266984,65.24288348
,2,11.24536057,11.13786583,131.3791516,155.9585965,91.44052885,91.52234909
,3,0.20284641,0.195014365,64.64709505,305.406666,99.68622502,99.6983401
,4,0.068967729,0.040882255,64.6470938,442.7665702,99.89331658,99.93676088
,5,0.036914093,0.007242354,64.64709354,744.4381512,99.94289907,99.98879709
,6,0.034290789,0.000534985,22.18335787,1041.639865,99.84542111,99.99758835
,7,0.044762933,4.55423E-05,11.09168801,976.2789189,99.59642812,99.9995894
Strong,1,120.2202312,119.4769293,343.7481192,71.69979968,65.02665049,65.24288496
,2,10.44404783,10.35291331,86.28551175,158.0601481,87.89594265,88.00156237
,3,0.175045753,0.169401027,29.11204287,304.914188,99.39871704,99.4181067
,4,0.083953514,0.070340992,11.62856115,421.3979951,99.2780404,99.3951015
,5,0.014392728,0.000453705,7.291221172,616.6460109,99.80260196,99.99377738
,6,0.032051616,7.22133E-05,1.543066126,1015.29229,97.9228618,99.99532014
,7,0.00744378,1.60574E-06,0.533796424,966.9067391,98.60550202,99.99969919
