Sched,t,K,SDP obj,Sample Obj,PEP obj,SDP solve time(s),SDP improv,Samp improv
Strongly cvx.,0.013507811,1,120.2202312,119.4769293,268.1864295,71.69979968,2.230792828,2.24467126
,0.017713243,2,10.44404783,10.35291331,66.7464792,158.0601481,6.390863034,6.447120458
,0.013507811,3,0.175045753,0.169401027,19.63185012,304.914188,112.1526789,115.889794
,0.024232064,4,0.083953514,0.070340992,8.027676944,421.3979951,95.6204995,114.1251597
,0.013507811,5,0.014392728,0.000453705,4.892396222,616.6460109,339.9213979,10783.20984
,0.017713243,6,0.032051616,0.0000722,1.0180244,1015.29229,31.76203035,14100.06094
,0.013507811,7,0.00744378,0.00000161,0.342344406,966.9067391,45.99066681,212636.2769
