sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,sdp_canontime,orig_m,orig_n,mu,L,b_cmul,b_r,K,sched,t,seed
7.683192188819957,33.78292555399821,1,141,10011,41,2,19820,16.528223514556885,60,40,2.530952337024979,196.20062787835053,10,1,1,silver,0.007188641171629161,1
3.814739035487464,137.929728824005,2,181,16471,81,2,32740,28.930580854415894,60,40,2.530952337024979,196.20062787835053,10,1,2,silver,0.010127180123424142,1
0.7125303916669854,150.11058929300634,3,221,24531,121,2,48860,49.503137826919556,60,40,2.530952337024979,196.20062787835053,10,1,3,silver,0.007188641171629161,1
2.5195901017622164,272.80499362199043,4,261,34191,161,2,68180,72.24970960617065,60,40,2.530952337024979,196.20062787835053,10,1,4,silver,0.017122348522692444,1
0.12147368554106597,359.4733805450087,5,301,45451,201,2,90700,100.06916522979736,60,40,2.530952337024979,196.20062787835053,10,1,5,silver,0.007188641171629161,1
0.13537714336760276,500.61290498000744,6,341,58311,241,2,116420,133.3572177886963,60,40,2.530952337024979,196.20062787835053,10,1,6,silver,0.010127180123424142,1
0.03757073409439826,709.9014714969962,7,381,72771,281,2,145340,186.77638936042786,60,40,2.530952337024979,196.20062787835053,10,1,7,silver,0.007188641171629161,1
0.7916266340700151,1050.0232336780027,8,421,88831,321,2,177460,237.46986413002014,60,40,2.530952337024979,196.20062787835053,10,1,8,silver,0.033388205178235854,1
0.3803687526754542,1083.825672899009,9,461,106491,361,2,212780,294.65275740623474,60,40,2.530952337024979,196.20062787835053,10,1,9,silver,0.007188641171629161,1
0.10372005836313414,1208.727704488003,10,501,125751,401,2,251300,358.53929352760315,60,40,2.530952337024979,196.20062787835053,10,1,10,silver,0.010127180123424142,1
