glob_objval,glob_solvetime,orig_m,orig_n,mu,L,b_r,K,t
9.636116310758844,0.0025780200958251953,10.0,5.0,1.757850067338638,22.31166433154214,0.25,1.0,silver
16.56003716906066,0.0025200843811035156,10.0,5.0,1.757850067338638,22.31166433154214,0.25,1.0,0.08309266098417836
7.749416411693865,0.00403904914855957,10.0,5.0,1.757850067338638,22.31166433154214,0.25,2.0,silver
4.613343561402484,0.011870145797729492,10.0,5.0,1.757850067338638,22.31166433154214,0.25,2.0,0.08309266098417836
1.1028646872521435,0.054972171783447266,10.0,5.0,1.757850067338638,22.31166433154214,0.25,3.0,silver
1.567452300277374,0.03477597236633301,10.0,5.0,1.757850067338638,22.31166433154214,0.25,3.0,0.08309266098417836
3.0949397969446863,0.03138399124145508,10.0,5.0,1.757850067338638,22.31166433154214,0.25,4.0,silver
0.5682266819611286,0.11294698715209961,10.0,5.0,1.757850067338638,22.31166433154214,0.25,4.0,0.08309266098417836
0.07144893394512053,0.19617414474487305,10.0,5.0,1.757850067338638,22.31166433154214,0.25,5.0,silver
0.21739950134545438,0.23855090141296387,10.0,5.0,1.757850067338638,22.31166433154214,0.25,5.0,0.08309266098417836
0.07219976510891968,0.3238050937652588,10.0,5.0,1.757850067338638,22.31166433154214,0.25,6.0,silver
0.10333194292360304,0.3209519386291504,10.0,5.0,1.757850067338638,22.31166433154214,0.25,6.0,0.08309266098417836
0.015991281995795248,0.6154770851135254,10.0,5.0,1.757850067338638,22.31166433154214,0.25,7.0,silver
0.049845724408072556,0.5218281745910645,10.0,5.0,1.757850067338638,22.31166433154214,0.25,7.0,0.08309266098417836
0.21925759940606326,0.20356488227844238,10.0,5.0,1.757850067338638,22.31166433154214,0.25,8.0,silver
0.024058840903691703,0.6090939044952393,10.0,5.0,1.757850067338638,22.31166433154214,0.25,8.0,0.08309266098417836
0.00015252119443687207,10.00308609008789,10.0,5.0,1.757850067338638,22.31166433154214,0.25,9.0,silver
0.011614848922803844,1.173081874847412,10.0,5.0,1.757850067338638,22.31166433154214,0.25,9.0,0.08309266098417836
0.00017315317452926138,10.004091024398804,10.0,5.0,1.757850067338638,22.31166433154214,0.25,10.0,silver
0.0056068051137430075,3.104166030883789,10.0,5.0,1.757850067338638,22.31166433154214,0.25,10.0,0.08309266098417836
