sched,K,tau
silver,1,891.574785217519
fixed,1,1003.0219769984737
silver,2,384.9239519983806
fixed,2,264.16562390258275
silver,3,152.9593464333834
fixed,3,62.74797799008001
silver,4,163.66307259716754
fixed,4,27.861752774541753
silver,5,152.9290990367251
fixed,5,17.83150365412602
silver,6,51.899712348923515
fixed,6,12.382989147415165
silver,7,26.004649130659708
fixed,7,9.097706168958538
