sched,K,sample_num,resid
fixed,1,10000,95.76332424353205
fixed,2,10000,8.932122092811182
fixed,3,10000,4.08048120181352
fixed,4,10000,2.507297153596781
fixed,5,10000,1.6930083261231945
fixed,6,10000,1.2008326425905473
fixed,7,10000,0.8702376494014339
silver,1,10000,85.1229548831396
silver,2,10000,15.730869543183838
silver,3,10000,3.1280582331424154
silver,4,10000,11.649022505008968
silver,5,10000,0.8275539906877378
silver,6,10000,1.2219636601012178
silver,7,10000,0.4152833385171387
