sched,K,tau
silver,1,678.9891962486262
fixed,1,763.8628718408507
silver,2,298.6894760849189
fixed,2,201.1819773418196
silver,3,146.52852340809704
fixed,3,49.72706837262658
silver,4,147.89367030951905
fixed,4,25.329951607393546
silver,5,147.23225663096926
fixed,5,15.642115016706597
silver,6,50.54577903625879
fixed,6,10.609205248358146
silver,7,25.26695858460106
fixed,7,7.664845022146176
