sample_num,K,sched,resid
7,5,silver,0.00044349850732274714
7,6,silver,7.128431834470108e-05
7,7,silver,1.5492059527636996e-06
7,8,silver,9.823109326425551e-07
7,9,silver,3.0617759038812204e-08
7,10,silver,4.509805212792707e-09
8,1,silver,119.0521209917677
8,2,silver,10.282571370345343
8,3,silver,0.16699778351953626
8,4,silver,0.06929514662007902
8,5,silver,0.00044063520826081304
8,6,silver,7.109074217451003e-05
8,7,silver,1.5289438039498677e-06
8,8,silver,9.742607335647993e-07
8,9,silver,2.9598128122369658e-08
8,10,silver,4.455444412834253e-09
9,1,silver,119.04005799104856
9,2,silver,10.273662860386391
9,3,silver,0.16686866147312332
9,4,silver,0.06923347708848793
9,5,silver,0.00044018669415254454
9,6,silver,7.10889661519986e-05
9,7,silver,1.52682946033875e-06
9,8,silver,9.762816276946367e-07
9,9,silver,2.9292674632986208e-08
9,10,silver,4.4396008136911e-09
10,1,silver,119.0016365190585
10,2,silver,10.291284621288463
10,3,silver,0.1668863433291177
10,4,silver,0.0690469669535583
10,5,silver,0.0004451490758489243
10,6,silver,7.117414620955899e-05
10,7,silver,1.549726602901569e-06
10,8,silver,9.67113326236437e-07
10,9,silver,3.16077221089385e-08
10,10,silver,4.5574764192549585e-09
11,1,silver,119.02838845901583
11,2,silver,10.265111700020363
11,3,silver,0.16652591324895324
11,4,silver,0.06906973968587601
11,5,silver,0.00043682150539257685
11,6,silver,7.071933857962293e-05
11,7,silver,1.492430850662038e-06
11,8,silver,9.560132609691557e-07
11,9,silver,2.797469932629226e-08
11,10,silver,4.361744170074121e-09
12,1,silver,118.84957232889084
12,2,silver,10.244611669525764
12,3,silver,0.16669545716060433
12,4,silver,0.069013601913157
12,5,silver,0.00044015151845389153
12,6,silver,7.105021811747244e-05
12,7,silver,1.5139064285748989e-06
12,8,silver,9.722200211060905e-07
12,9,silver,2.8428702312084323e-08
12,10,silver,4.389502901283592e-09
13,1,silver,119.04076268438958
13,2,silver,10.280923658333458
13,3,silver,0.16686204092785262
13,4,silver,0.06919454100648613
13,5,silver,0.00044043289984798767
13,6,silver,7.119700359684335e-05
13,7,silver,1.5303340291421542e-06
13,8,silver,9.781363797793437e-07
13,9,silver,2.9497282331548207e-08
13,10,silver,4.45521319016843e-09
14,1,silver,119.16560022095983
14,2,silver,10.273818540834082
14,3,silver,0.16685708505148572
14,4,silver,0.0693299387691585
14,5,silver,0.000437817876809655
14,6,silver,7.102415783414662e-05
14,7,silver,1.5180072596709063e-06
14,8,silver,9.81977799740059e-07
14,9,silver,2.830835793938445e-08
14,10,silver,4.387103355398488e-09
15,1,silver,119.03216407473636
15,2,silver,10.289131069396177
15,3,silver,0.16710931167300977
15,4,silver,0.06935070332302026
15,5,silver,0.0004403598617561204
15,6,silver,7.118881602118523e-05
15,7,silver,1.5259162956024003e-06
15,8,silver,9.712484876342872e-07
15,9,silver,2.9601309203770608e-08
15,10,silver,4.461707099374464e-09
16,1,silver,118.96838503006612
16,2,silver,10.27409179538946
16,3,silver,0.16700597473253792
16,4,silver,0.06928701744649463
16,5,silver,0.0004413616968441964
16,6,silver,7.114565234578916e-05
16,7,silver,1.536960051945741e-06
16,8,silver,9.794998735177376e-07
16,9,silver,2.987774573718405e-08
16,10,silver,4.469741320766137e-09
17,1,silver,118.95266624829026
17,2,silver,10.293264423718467
17,3,silver,0.16708163769858828
17,4,silver,0.0693067619110913
17,5,silver,0.00044258068636136535
17,6,silver,7.112796691542492e-05
17,7,silver,1.5393775425656042e-06
17,8,silver,9.635858814407617e-07
17,9,silver,3.119848854289874e-08
17,10,silver,4.538563261273807e-09
18,1,silver,119.15882817963575
18,2,silver,10.269698046915847
18,3,silver,0.16687613032764514
18,4,silver,0.06912611263790414
18,5,silver,0.0004444504813875774
18,6,silver,7.117179635445144e-05
18,7,silver,1.555331597323595e-06
18,8,silver,9.778578233964944e-07
18,9,silver,3.140242995480979e-08
18,10,silver,4.545085485930159e-09
19,1,silver,118.96197773062786
19,2,silver,10.290110688137174
19,3,silver,0.16700017780792076
19,4,silver,0.0693644723502851
19,5,silver,0.00044039898004641544
19,6,silver,7.113043922477529e-05
19,7,silver,1.5343772364324119e-06
19,8,silver,9.795882366729668e-07
19,9,silver,2.9726905806439226e-08
19,10,silver,4.4621048628498745e-09
20,1,silver,119.06018668660697
20,2,silver,10.283797692433758
20,3,silver,0.16699501540501602
20,4,silver,0.06946813996281274
20,5,silver,0.0004385148543354121
20,6,silver,7.136726822648502e-05
20,7,silver,1.5390378370247983e-06
20,8,silver,9.973636849995194e-07
20,9,silver,2.906706752988892e-08
20,10,silver,4.438981168820215e-09
21,1,silver,119.09644710195963
21,2,silver,10.280987957358507
21,3,silver,0.1673183738729604
21,4,silver,0.06924930282810497
21,5,silver,0.0004443980333984033
21,6,silver,7.095192636205781e-05
21,7,silver,1.5339708092073148e-06
21,8,silver,9.598983762643462e-07
21,9,silver,3.074502084103865e-08
21,10,silver,4.5051623809047996e-09
22,1,silver,119.05302030681378
22,2,silver,10.281424145586442
22,3,silver,0.1667415316078675
22,4,silver,0.069249308437703
22,5,silver,0.0004379726090829895
22,6,silver,7.114474975264735e-05
22,7,silver,1.516284593992692e-06
22,8,silver,9.745836378239805e-07
22,9,silver,2.872098405704885e-08
22,10,silver,4.416133827359928e-09
23,1,silver,119.05182872600172
23,2,silver,10.293109022580936
23,3,silver,0.1670447052340812
23,4,silver,0.06921012586727478
23,5,silver,0.00044460236420181914
23,6,silver,7.137733719956417e-05
23,7,silver,1.5593874160165584e-06
23,8,silver,9.885586206877873e-07
23,9,silver,3.098621475414634e-08
23,10,silver,4.5295391075454805e-09
24,1,silver,118.85740684519129
24,2,silver,10.266154673370039
24,3,silver,0.16683796922601762
24,4,silver,0.0691372027420846
24,5,silver,0.00044225527270653044
24,6,silver,7.1108914985032e-05
24,7,silver,1.5384204785198425e-06
24,8,silver,9.776452820985064e-07
24,9,silver,3.008169002125295e-08
24,10,silver,4.474306284216766e-09
25,1,silver,119.02868275322055
25,2,silver,10.279061639127168
25,3,silver,0.16699692920842427
25,4,silver,0.06925857085200694
25,5,silver,0.0004415879141789958
25,6,silver,7.11163137413848e-05
25,7,silver,1.5342472079722144e-06
25,8,silver,9.74194722885418e-07
25,9,silver,3.000976922764455e-08
25,10,silver,4.475568993894022e-09
26,1,silver,118.98146349784027
26,2,silver,10.272460193695235
26,3,silver,0.16691519049231118
26,4,silver,0.06926618392580593
26,5,silver,0.00043973647317773894
26,6,silver,7.106911531791928e-05
26,7,silver,1.5231494362220737e-06
26,8,silver,9.731603475251849e-07
26,9,silver,2.9245586444988583e-08
26,10,silver,4.43724693158909e-09
27,1,silver,118.84639846752256
27,2,silver,10.288940719459532
27,3,silver,0.16680315911000324
27,4,silver,0.0693995578956931
27,5,silver,0.00044098273482269155
27,6,silver,7.130588828671497e-05
27,7,silver,1.5605524112428952e-06
27,8,silver,9.943592629621655e-07
27,9,silver,3.096852529609278e-08
27,10,silver,4.532022485136391e-09
28,1,silver,119.35093891785138
28,2,silver,10.284444724340421
28,3,silver,0.1665558042398871
28,4,silver,0.06909139456474947
28,5,silver,0.0004414592078885097
28,6,silver,7.116381879269238e-05
28,7,silver,1.5478899695343359e-06
28,8,silver,9.964243014448588e-07
28,9,silver,2.9632009264675495e-08
28,10,silver,4.452239783896079e-09
29,1,silver,119.16218982265998
29,2,silver,10.294471745127547
29,3,silver,0.1663761383757588
29,4,silver,0.06928311199352925
29,5,silver,0.0004348467734996482
29,6,silver,7.114192549106415e-05
29,7,silver,1.5174585876869965e-06
29,8,silver,9.850244754307963e-07
29,9,silver,2.8301006978071358e-08
29,10,silver,4.402433260401855e-09
30,1,silver,119.05225953556906
30,2,silver,10.286670433394223
30,3,silver,0.1669171312945841
30,4,silver,0.06933844160018834
30,5,silver,0.00043907311066498336
30,6,silver,7.10728489587665e-05
30,7,silver,1.5233487870382371e-06
30,8,silver,9.729529687091388e-07
30,9,silver,2.9337717628246455e-08
30,10,silver,4.44516496104106e-09
31,1,silver,118.99033717211296
31,2,silver,10.278348698833511
31,3,silver,0.16691840706695413
31,4,silver,0.069248742042029
31,5,silver,0.0004422466517292649
31,6,silver,7.108865740037918e-05
31,7,silver,1.5434699724018242e-06
31,8,silver,9.761523411438392e-07
31,9,silver,3.060670897352362e-08
31,10,silver,4.505872062841515e-09
32,1,silver,119.03534827580988
32,2,silver,10.275800770845695
32,3,silver,0.1668205481481172
32,4,silver,0.06918939484372118
32,5,silver,0.00044128155708176144
32,6,silver,7.124468559551138e-05
32,7,silver,1.5382318788457945e-06
32,8,silver,9.826009314975234e-07
32,9,silver,2.977681444772811e-08
32,10,silver,4.46923943591891e-09
33,1,silver,119.04288740019734
33,2,silver,10.280305920753818
33,3,silver,0.16696392336328378
33,4,silver,0.0692651810139349
33,5,silver,0.00044108173991958926
33,6,silver,7.112300215580679e-05
33,7,silver,1.5327563434133183e-06
33,8,silver,9.75610832281725e-07
33,9,silver,2.9814462963300686e-08
33,10,silver,4.466678026399986e-09
34,1,silver,119.14203141998657
34,2,silver,10.285961693926154
34,3,silver,0.16701973829302133
34,4,silver,0.06941981596330063
34,5,silver,0.00043679662383172606
34,6,silver,7.106341111427247e-05
34,7,silver,1.507003178059073e-06
34,8,silver,9.786702491471373e-07
34,9,silver,2.7640636461471172e-08
34,10,silver,4.35749266511281e-09
35,1,silver,119.04751651920097
35,2,silver,10.281362135477057
35,3,silver,0.16701218539557144
35,4,silver,0.06928691825898883
35,5,silver,0.00044114870040222345
35,6,silver,7.11434909162643e-05
35,7,silver,1.5331139853267523e-06
35,8,silver,9.761869345214613e-07
35,9,silver,2.9800674693384217e-08
35,10,silver,4.466727327838366e-09
36,1,silver,119.16945336640643
36,2,silver,10.29342911117317
36,3,silver,0.1674776300225007
36,4,silver,0.06939258105691187
36,5,silver,0.0004424786885983929
36,6,silver,7.126378746556727e-05
36,7,silver,1.5267932383478849e-06
36,8,silver,9.719037711332804e-07
36,9,silver,2.9410632083149733e-08
36,10,silver,4.451685894072982e-09
37,1,silver,119.01061613346194
37,2,silver,10.27649973159596
37,3,silver,0.16697922039731
37,4,silver,0.06928903342357912
37,5,silver,0.00044068229519648
37,6,silver,7.114534236693612e-05
37,7,silver,1.5326866846971652e-06
37,8,silver,9.78795844631225e-07
37,9,silver,2.9616521335333732e-08
37,10,silver,4.457428668279082e-09
38,1,silver,119.05637742321274
38,2,silver,10.276797559579114
38,3,silver,0.16675804976075942
38,4,silver,0.06925779061164078
38,5,silver,0.0004376021517128624
38,6,silver,7.090405920587294e-05
38,7,silver,1.5107841837473498e-06
38,8,silver,9.732640066555154e-07
38,9,silver,2.824622041000197e-08
38,10,silver,4.384482526209832e-09
39,1,silver,119.02532208877778
39,2,silver,10.278856955994444
39,3,silver,0.16722897724924182
39,4,silver,0.06930607391730555
39,5,silver,0.0004430947898211285
39,6,silver,7.119809595865453e-05
39,7,silver,1.5404161465457065e-06
39,8,silver,9.761602472254075e-07
39,9,silver,3.0308287674703596e-08
39,10,silver,4.490228349522681e-09
40,1,silver,119.0492658636292
40,2,silver,10.287061454197143
40,3,silver,0.1670787294508444
40,4,silver,0.06931566936463211
40,5,silver,0.0004419507338018684
40,6,silver,7.118660874493419e-05
40,7,silver,1.5395980482347556e-06
40,8,silver,9.777420732168657e-07
40,9,silver,3.0198911839680555e-08
40,10,silver,4.488172227337052e-09
41,1,silver,119.00032618405598
41,2,silver,10.269645964127964
41,3,silver,0.16643484512651163
41,4,silver,0.0689721916916383
41,5,silver,0.00044293507779442253
41,6,silver,7.120319966358183e-05
41,7,silver,1.554759517468432e-06
41,8,silver,9.861270555947204e-07
41,9,silver,3.0895658916556986e-08
41,10,silver,4.518874168579317e-09
42,1,silver,119.1733957216756
42,2,silver,10.298073639581055
42,3,silver,0.16717152325428147
42,4,silver,0.06928495392946032
42,5,silver,0.00044332908084386547
42,6,silver,7.136137089516596e-05
42,7,silver,1.5444715531213242e-06
42,8,silver,9.797792333730904e-07
42,9,silver,3.036856990642104e-08
42,10,silver,4.503396806410054e-09
43,1,silver,119.05738070229128
43,2,silver,10.271511509216054
43,3,silver,0.16663657641742724
43,4,silver,0.06912138567898288
43,5,silver,0.0004411740401957306
43,6,silver,7.10650944535071e-05
43,7,silver,1.5388769501367565e-06
43,8,silver,9.8036810218379e-07
43,9,silver,2.9995447234354646e-08
43,10,silver,4.47187351448208e-09
44,1,silver,119.1146656979797
44,2,silver,10.28181460098543
44,3,silver,0.16746698031128585
44,4,silver,0.06955903333794106
44,5,silver,0.00043922203115958974
44,6,silver,7.124688513238235e-05
44,7,silver,1.5227241981878964e-06
44,8,silver,9.861958246780965e-07
44,9,silver,2.8333680267316492e-08
44,10,silver,4.395456234517249e-09
45,1,silver,119.10139599697739
45,2,silver,10.291209607658953
45,3,silver,0.1671345828726583
45,4,silver,0.06934409795316507
45,5,silver,0.00044255355328460253
45,6,silver,7.130015851973113e-05
45,7,silver,1.5479724717702486e-06
45,8,silver,9.824395136448468e-07
45,9,silver,3.0570993481345693e-08
45,10,silver,4.510562056410252e-09
46,1,silver,119.05007703940926
46,2,silver,10.283017690509846
46,3,silver,0.1669901259902811
46,4,silver,0.06927384731425394
46,5,silver,0.0004412279234081144
46,6,silver,7.11329408715239e-05
46,7,silver,1.5336347585695173e-06
46,8,silver,9.760210723797287e-07
46,9,silver,2.987083910748471e-08
46,10,silver,4.468720490326271e-09
47,1,silver,119.12644456576236
47,2,silver,10.287321435528703
47,3,silver,0.16693222722633258
47,4,silver,0.06926694406006804
47,5,silver,0.0004428514644376756
47,6,silver,7.130633170287622e-05
47,7,silver,1.556553557673807e-06
47,8,silver,9.88906363364487e-07
47,9,silver,3.089763804761496e-08
47,10,silver,4.524104781226357e-09
48,1,silver,118.8008212705245
48,2,silver,10.240245410177891
48,3,silver,0.1666965388261848
48,4,silver,0.06899496588568699
48,5,silver,0.00044203954225227246
48,6,silver,7.116956288068391e-05
48,7,silver,1.5357594363409568e-06
48,8,silver,9.818345460841934e-07
48,9,silver,2.956838837644115e-08
48,10,silver,4.449418908828171e-09
49,1,silver,119.07345464495761
49,2,silver,10.293349650571756
49,3,silver,0.1676939102954065
49,4,silver,0.06952254780127512
49,5,silver,0.00044477024926172686
49,6,silver,7.151667525616889e-05
49,7,silver,1.5558711094849818e-06
49,8,silver,9.864719346959429e-07
49,9,silver,3.0828106838133077e-08
49,10,silver,4.527855858920379e-09
50,1,silver,119.02809066096879
50,2,silver,10.266982017732278
50,3,silver,0.16689288478408595
50,4,silver,0.06928731938679702
50,5,silver,0.00043717498597130327
50,6,silver,7.09708017063446e-05
50,7,silver,1.504518720469775e-06
50,8,silver,9.752981335059778e-07
50,9,silver,2.759701974694128e-08
50,10,silver,4.352188029728399e-09
51,1,silver,119.12813854581984
51,2,silver,10.291667080976342
51,3,silver,0.16732078653888224
51,4,silver,0.0694498154423605
51,5,silver,0.0004400019419327901
51,6,silver,7.121239598682885e-05
51,7,silver,1.5211407605933313e-06
51,8,silver,9.75035868031674e-07
51,9,silver,2.891766352409818e-08
51,10,silver,4.42633450955205e-09
52,1,silver,119.06554052399608
52,2,silver,10.273803616732286
52,3,silver,0.16701186318467104
52,4,silver,0.06919841569337128
52,5,silver,0.0004423729598214759
52,6,silver,7.112357734862571e-05
52,7,silver,1.533371975021084e-06
52,8,silver,9.713282094615608e-07
52,9,silver,3.009136990439176e-08
52,10,silver,4.477764058905895e-09
53,1,silver,119.062705883788
53,2,silver,10.284769406937176
53,3,silver,0.16704270979349314
53,4,silver,0.06937318669049856
53,5,silver,0.00043824985950103207
53,6,silver,7.107971077559211e-05
53,7,silver,1.5126408073183212e-06
53,8,silver,9.680832014777885e-07
53,9,silver,2.879939526171445e-08
53,10,silver,4.420612624974267e-09
54,1,silver,119.01190686024498
54,2,silver,10.281200643897446
54,3,silver,0.16698042124427856
54,4,silver,0.06925097325807233
54,5,silver,0.0004418956817621343
54,6,silver,7.11680443034871e-05
54,7,silver,1.5385655314917697e-06
54,8,silver,9.771703380321088e-07
54,9,silver,3.0162878040996055e-08
54,10,silver,4.4847825126192344e-09
55,1,silver,119.13617118690959
55,2,silver,10.26647539126631
55,3,silver,0.16686514949138448
55,4,silver,0.06938028457653711
55,5,silver,0.0004363162460310307
55,6,silver,7.092803173314372e-05
55,7,silver,1.5066691268262372e-06
55,8,silver,9.767217763286578e-07
55,9,silver,2.779063194455849e-08
55,10,silver,4.3600854268998885e-09
56,1,silver,119.11095261246432
56,2,silver,10.277612856861222
56,3,silver,0.16662410899643537
56,4,silver,0.06919227747906213
56,5,silver,0.00043798726461301534
56,6,silver,7.083025503542171e-05
56,7,silver,1.5118463343516364e-06
56,8,silver,9.695276544921284e-07
56,9,silver,2.8631806524898835e-08
56,10,silver,4.397253186103619e-09
57,1,silver,119.08540881066781
57,2,silver,10.27075810070588
57,3,silver,0.1669781080439684
57,4,silver,0.06918074770047508
57,5,silver,0.0004413202466360245
57,6,silver,7.098449859259166e-05
57,7,silver,1.5211898162574517e-06
57,8,silver,9.676961479910721e-07
57,9,silver,2.932985250296154e-08
57,10,silver,4.433362451287338e-09
58,1,silver,118.79473582727073
58,2,silver,10.283153423261089
58,3,silver,0.1667837040757005
58,4,silver,0.06929398908530472
58,5,silver,0.0004399621630970105
58,6,silver,7.105845338667365e-05
58,7,silver,1.5372229093125938e-06
58,8,silver,9.771598899145578e-07
58,9,silver,3.023867053840429e-08
58,10,silver,4.485735701878039e-09
59,1,silver,119.00043170043874
59,2,silver,10.257899209015976
59,3,silver,0.1668239682136029
59,4,silver,0.0690400635101024
59,5,silver,0.0004429873988835578
59,6,silver,7.100864784273392e-05
59,7,silver,1.534350936044438e-06
59,8,silver,9.709620787347136e-07
59,9,silver,3.012573769760588e-08
59,10,silver,4.471879748580703e-09
60,1,silver,119.11447395867383
60,2,silver,10.269895619812173
60,3,silver,0.166997126372394
60,4,silver,0.06896436074567973
60,5,silver,0.00044848966984580203
60,6,silver,7.113418007979998e-05
60,7,silver,1.5647582264962267e-06
60,8,silver,9.692506489706404e-07
60,9,silver,3.251675816019546e-08
60,10,silver,4.591888599390623e-09
61,1,silver,119.28192006678253
61,2,silver,10.264535337770827
61,3,silver,0.16664716178755887
61,4,silver,0.06911511238054939
61,5,silver,0.00043719935570813963
61,6,silver,7.082806261934967e-05
61,7,silver,1.4967098662318962e-06
61,8,silver,9.607680144545458e-07
61,9,silver,2.7996037211774105e-08
61,10,silver,4.367695497000141e-09
62,1,silver,119.04040633315103
62,2,silver,10.280845902651627
62,3,silver,0.16697234778519734
62,4,silver,0.06928186700485835
62,5,silver,0.00044082693948442267
62,6,silver,7.114589830668305e-05
62,7,silver,1.532470646205934e-06
62,8,silver,9.77016590976745e-07
62,9,silver,2.971261373220873e-08
62,10,silver,4.462719007371568e-09
63,1,silver,119.07607439080395
63,2,silver,10.271129489504206
63,3,silver,0.16660945626783188
63,4,silver,0.06907365165342076
63,5,silver,0.0004397005780582391
63,6,silver,7.088961561796597e-05
63,7,silver,1.5165305327630033e-06
63,8,silver,9.647139971623833e-07
63,9,silver,2.9268829862459006e-08
63,10,silver,4.4301206009098716e-09
64,1,silver,118.97585615003977
64,2,silver,10.28375093618301
64,3,silver,0.16801135558848193
64,4,silver,0.06949805997979654
64,5,silver,0.0004462778662899227
64,6,silver,7.137818455402665e-05
64,7,silver,1.542368983186986e-06
64,8,silver,9.679341861447761e-07
64,9,silver,3.076835803180265e-08
64,10,silver,4.521685843725275e-09
65,1,silver,119.0998154742669
65,2,silver,10.28604997964549
65,3,silver,0.16692726965483712
65,4,silver,0.0691788482743468
65,5,silver,0.00044194002469836714
65,6,silver,7.108253208315136e-05
65,7,silver,1.5307514426889487e-06
65,8,silver,9.691888190157488e-07
65,9,silver,3.0043554996796225e-08
65,10,silver,4.474611740518967e-09
66,1,silver,119.08831029663997
66,2,silver,10.28485508864249
66,3,silver,0.16698991180295053
66,4,silver,0.06931266490625901
66,5,silver,0.00043975607996565516
66,6,silver,7.119210026502827e-05
66,7,silver,1.524743584739367e-06
66,8,silver,9.73175710669647e-07
66,9,silver,2.9391911433377797e-08
66,10,silver,4.452875217257186e-09
67,1,silver,119.10859650232341
67,2,silver,10.255714777303712
67,3,silver,0.16710625162032883
67,4,silver,0.06901413820903676
67,5,silver,0.0004466171592860292
67,6,silver,7.12785197309657e-05
67,7,silver,1.5502272642787988e-06
67,8,silver,9.78936599338047e-07
67,9,silver,3.064548147808871e-08
67,10,silver,4.502045818423487e-09
68,1,silver,119.36213984772792
68,2,silver,10.293924591237758
68,3,silver,0.16779328460244805
68,4,silver,0.06953363903389709
68,5,silver,0.00044107816563884484
68,6,silver,7.088375873688607e-05
68,7,silver,1.504081666183042e-06
68,8,silver,9.6084173344111e-07
68,9,silver,2.8240194553208745e-08
68,10,silver,4.376796128512058e-09
69,1,silver,119.03181420909341
69,2,silver,10.280839795080775
69,3,silver,0.16694909044860426
69,4,silver,0.0692473069439771
69,5,silver,0.0004415602151191485
69,6,silver,7.113767210212557e-05
69,7,silver,1.5365097014073608e-06
69,8,silver,9.764867117181641e-07
69,9,silver,3.004633881368249e-08
69,10,silver,4.478446593260617e-09
70,1,silver,119.11915772815333
70,2,silver,10.294285570844934
70,3,silver,0.1673187908171113
70,4,silver,0.06941674972934625
70,5,silver,0.0004411505797987189
70,6,silver,7.107395675332232e-05
70,7,silver,1.523708392282641e-06
70,8,silver,9.655303408286064e-07
70,9,silver,2.970300103772119e-08
70,10,silver,4.462945153448896e-09
71,1,silver,119.06856474383545
71,2,silver,10.295205536540792
71,3,silver,0.16722115539073562
71,4,silver,0.0692622028965543
71,5,silver,0.00044437674367772445
71,6,silver,7.114607777215174e-05
71,7,silver,1.5416459664607763e-06
71,8,silver,9.63896285328683e-07
71,9,silver,3.118248693057479e-08
71,10,silver,4.535186820978349e-09
72,1,silver,119.0635650939157
72,2,silver,10.282376844920787
72,3,silver,0.16706684974122687
72,4,silver,0.0693170239206958
72,5,silver,0.0004411881732122586
72,6,silver,7.120576361937676e-05
72,7,silver,1.5354848881852001e-06
72,8,silver,9.792064499744886e-07
72,9,silver,2.981593065001188e-08
72,10,silver,4.468949917607482e-09
73,1,silver,118.98544360557767
73,2,silver,10.281381570994679
73,3,silver,0.168262223178281
73,4,silver,0.06950181546307918
73,5,silver,0.0004466965365227004
73,6,silver,7.142555539831374e-05
73,7,silver,1.5325872658567935e-06
73,8,silver,9.565330687083497e-07
73,9,silver,3.072067848050925e-08
73,10,silver,4.522397424718261e-09
74,1,silver,119.03780713352023
74,2,silver,10.282594420837375
74,3,silver,0.1670266170548973
74,4,silver,0.06928084322446569
74,5,silver,0.0004415757512717089
74,6,silver,7.11522119407418e-05
74,7,silver,1.5350854720348316e-06
74,8,silver,9.75707261290655e-07
74,9,silver,2.997963562493672e-08
74,10,silver,4.47542510546471e-09
75,1,silver,119.1270761559807
75,2,silver,10.299115113530155
75,3,silver,0.16757841423105865
75,4,silver,0.06959045009330368
75,5,silver,0.00044080367699915804
75,6,silver,7.11910460452581e-05
75,7,silver,1.5254984181449373e-06
75,8,silver,9.701831553932524e-07
75,9,silver,2.9567926508737127e-08
75,10,silver,4.460201065175532e-09
76,1,silver,119.05686212646258
76,2,silver,10.281641544472427
76,3,silver,0.1670771204902066
76,4,silver,0.06930460012749604
76,5,silver,0.0004413347302634456
76,6,silver,7.11415080565264e-05
76,7,silver,1.5325443404664647e-06
76,8,silver,9.752215229347082e-07
76,9,silver,2.9802255681179022e-08
76,10,silver,4.4665747759563375e-09
77,1,silver,118.92065330299474
77,2,silver,10.281045758879296
77,3,silver,0.1673886395498352
77,4,silver,0.06941573498308377
77,5,silver,0.00044213192577270986
77,6,silver,7.103301574303013e-05
77,7,silver,1.526909851009445e-06
77,8,silver,9.555100840608535e-07
77,9,silver,3.064007100854562e-08
77,10,silver,4.511290242732177e-09
78,1,silver,118.90234358666926
78,2,silver,10.288056005613896
78,3,silver,0.1671955405810971
78,4,silver,0.06939556098054687
78,5,silver,0.0004425330160454927
78,6,silver,7.1207574146837e-05
78,7,silver,1.5459261433306522e-06
78,8,silver,9.832251205129407e-07
78,9,silver,3.026402065435935e-08
78,10,silver,4.492962478308325e-09
79,1,silver,119.08490341726655
79,2,silver,10.294613903053214
79,3,silver,0.16714997106993978
79,4,silver,0.06934326513437498
79,5,silver,0.00044116211361037625
79,6,silver,7.116850500208248e-05
79,7,silver,1.5294606609033208e-06
79,8,silver,9.72610120276786e-07
79,9,silver,2.9739399886290308e-08
79,10,silver,4.4666815101656814e-09
80,1,silver,119.05217670710549
80,2,silver,10.28557757012868
80,3,silver,0.16720755294887793
80,4,silver,0.06957395366983266
80,5,silver,0.00043740740960296993
80,6,silver,7.093751147918252e-05
80,7,silver,1.5155379466506138e-06
80,8,silver,9.74549261720336e-07
80,9,silver,2.859911556899947e-08
80,10,silver,4.40544295534084e-09
81,1,silver,118.98936211249107
81,2,silver,10.2783162132515
81,3,silver,0.1669868092259807
81,4,silver,0.06923257719654692
81,5,silver,0.00044224318382800706
81,6,silver,7.119516192098617e-05
81,7,silver,1.539606288436497e-06
81,8,silver,9.771539054958223e-07
81,9,silver,3.023453780962309e-08
81,10,silver,4.488598738284132e-09
82,1,silver,119.03337513235586
82,2,silver,10.291721900694572
82,3,silver,0.16713908905280114
82,4,silver,0.06944342017751995
82,5,silver,0.00043921374700650855
82,6,silver,7.098074533517109e-05
82,7,silver,1.5210266631130242e-06
82,8,silver,9.728783165421086e-07
82,9,silver,2.908194473760356e-08
82,10,silver,4.4275317692544085e-09
83,1,silver,119.1145217172442
