sample_num,K,sched,resid
1,1,silver,118.99592185548191
1,2,silver,10.283972252226222
1,3,silver,0.1671754256163028
1,4,silver,0.069281416174693
1,5,silver,0.00044250308447650523
1,6,silver,7.118319551805474e-05
1,7,silver,1.5346825647115142e-06
1,8,silver,9.7308374310863e-07
1,9,silver,3.005475735265995e-08
1,10,silver,4.479655653345563e-09
2,1,silver,118.911931395394
2,2,silver,10.268642530851507
2,3,silver,0.16645484464462365
2,4,silver,0.06884819469960736
2,5,silver,0.00044481281354239615
2,6,silver,7.100386927693697e-05
2,7,silver,1.55131266781058e-06
2,8,silver,9.719166031895934e-07
2,9,silver,3.143820237258763e-08
2,10,silver,4.535281124201403e-09
3,1,silver,119.04998870730502
3,2,silver,10.280619962694045
3,3,silver,0.16700473207439612
3,4,silver,0.0692863404206148
3,5,silver,0.00044092380648348933
3,6,silver,7.114077056459079e-05
3,7,silver,1.5314991986687132e-06
3,8,silver,9.761986138618222e-07
3,9,silver,2.9673319443074854e-08
3,10,silver,4.460337873242136e-09
4,1,silver,119.0340816475982
4,2,silver,10.329204326833311
4,3,silver,0.16805817663217432
4,4,silver,0.0698581462796212
4,5,silver,0.0004437055097346611
4,6,silver,7.168871977781842e-05
4,7,silver,1.5616733282410355e-06
4,8,silver,9.918719931137632e-07
4,9,silver,3.103344116799159e-08
4,10,silver,4.5528226865542205e-09
5,1,silver,119.00445446577392
5,2,silver,10.278650785571683
5,3,silver,0.16730727256727304
5,4,silver,0.06935818468206238
5,5,silver,0.00044254520929314003
5,6,silver,7.126708252044072e-05
5,7,silver,1.5377621945431724e-06
5,8,silver,9.796946578718532e-07
5,9,silver,2.9822355290405e-08
5,10,silver,4.471236450067513e-09
6,1,silver,119.00951305131908
6,2,silver,10.286185758724105
6,3,silver,0.16722029860343335
6,4,silver,0.06936999534063831
6,5,silver,0.00044119734248146403
6,6,silver,7.120764301750111e-05
6,7,silver,1.5303328423943162e-06
6,8,silver,9.754327381522825e-07
6,9,silver,2.959392386931514e-08
6,10,silver,4.459971203347935e-09
7,1,silver,119.10815736806491
7,2,silver,10.290865750374147
7,3,silver,0.1672161041762831
7,4,silver,0.06932839456106003
