sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,sdp_canontime,orig_m,orig_n,mu,L,b_cmul,b_r,K,sched,t,seed
30.026315928468424,64.24724271899322,1,141,10011,41,2,19820,25.28527069091797,60,40,2.5309523370249885,196.2006278783505,20,1,1,silver,0.007188641171629163,1
14.975666152183095,179.44072028400842,2,181,16471,81,2,32740,44.02649807929993,60,40,2.5309523370249885,196.2006278783505,20,1,2,silver,0.01012718012342414,1
2.848432261895761,318.17508493800415,3,221,24531,121,2,48860,72.67703890800476,60,40,2.5309523370249885,196.2006278783505,20,1,3,silver,0.007188641171629163,1
9.670628009749374,351.7129888859927,4,261,34191,161,2,68180,107.00858116149902,60,40,2.5309523370249885,196.2006278783505,20,1,4,silver,0.017122348522692447,1
0.44663054429169113,579.9570455569774,5,301,45451,201,2,90700,147.37051558494568,60,40,2.5309523370249885,196.2006278783505,20,1,5,silver,0.007188641171629163,1
0.5791717881036025,705.7216409420362,6,341,58311,241,2,116420,195.4340591430664,60,40,2.5309523370249885,196.2006278783505,20,1,6,silver,0.01012718012342414,1
0.21160795323535853,1072.1549469349557,7,381,72771,281,2,145340,274.65332674980164,60,40,2.5309523370249885,196.2006278783505,20,1,7,silver,0.007188641171629163,1
2.0491404693770106,1322.2093571429723,8,421,88831,321,2,177460,345.5462052822113,60,40,2.5309523370249885,196.2006278783505,20,1,8,silver,0.03338820517823586,1
0.40073478513154726,1823.619243182009,9,461,106491,361,2,212780,426.70307970046997,60,40,2.5309523370249885,196.2006278783505,20,1,9,silver,0.007188641171629163,1
0.9743339399736861,2402.601681909,10,501,125751,401,2,251300,495.6563799381256,60,40,2.5309523370249885,196.2006278783505,20,1,10,silver,0.01012718012342414,1
