K,g_obj,g_solve_time,sdp_obj,sdp_solve_time,min_max
1,3.0463817252849896,0.006947994232177734,3.046381721102797,2.0410051345825195,max
1,2.881336603381624,0.004144906997680664,2.8797150600999815,2.362755060195923,min
2,0.15536244782219058,0.05286383628845215,0.477759023228585,9.133619785308838,max
2,0.10363277823425619,0.012156009674072266,0.10111720333485891,12.319292068481445,min
3,0.06741710491748282,0.2084190845489502,0.5516430244931687,13.514219999313354,max
3,0.03499890379169272,0.017376184463500977,0.030639045442343676,13.760478973388672,min
4,0.03598588248551984,0.24364709854125977,0.9009522867300851,21.463926076889038,max
4,0.010909641352811111,0.02962207794189453,0.008680001232405987,34.02840304374695,min
