K,s_obj,s_time,c_obj,c_time,min_max
1,1.6759918831845817,0.8709869384765625,1.6759624441598124,0.9337761402130127,max
1,1.425025640950842,0.63189697265625,1.4252307274938334,0.4422760009765625,min
2,0.3116690380186325,0.6575160026550293,0.31162148311321186,1.0193228721618652,max
2,0.06133781228277165,0.6251440048217773,0.0613567347453332,0.8511049747467041,min
3,0.5831692409979551,1.2031569480895996,0.5831928704645742,1.2249360084533691,max
3,0.020446334980633588,1.6092889308929443,0.020440494092156827,0.9306600093841553,min
4,1.0069914242439981,1.4594709873199463,1.0070922685362302,1.068100929260254,max
4,0.006824807619281141,1.6415519714355469,0.006822027196894927,1.0076780319213867,min
5,1.5650304207300265,1.7228500843048096,1.5652208472736953,1.1950600147247314,max
5,0.002273898401521028,1.165916919708252,0.0022748291655220396,1.051114797592163,min
6,2.2511514739599408,2.4967639446258545,2.2514136635471886,1.2626290321350098,max
6,0.0007583349753859311,0.9642899036407471,0.0007583240052557519,1.0733861923217773,min
7,3.0631316508434554,3.114047050476074,3.0633073572948284,2.4157230854034424,max
7,0.0002527995337038222,1.5676589012145996,0.00025279108110380644,1.1836459636688232,min
8,4.000787559404096,2.104681968688965,4.000935377895086,1.924833059310913,max
8,8.426994176057023e-05,1.3273890018463135,8.426979403598767e-05,1.3376989364624023,min
