Alg.,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
ISTA,1,2.24,2.22,$2.28 \times 10^{2}$,8.52,$1.02 \times 10^{2}$,$1.02 \times 10^{2}$
,2,1.30,1.30,$5.46 \times 10^{1}$,$3.14 \times 10^{1}$,$4.19 \times 10^{1}$,$4.21 \times 10^{1}$
,3,$9.14 \times 10^{-1}$,$9.10 \times 10^{-1}$,$2.10 \times 10^{1}$,$9.22 \times 10^{1}$,$2.30 \times 10^{1}$,$2.30 \times 10^{1}$
,4,$6.90 \times 10^{-1}$,$6.86 \times 10^{-1}$,$1.47 \times 10^{1}$,$1.24 \times 10^{2}$,$2.14 \times 10^{1}$,$2.15 \times 10^{1}$
,5,$5.46 \times 10^{-1}$,$5.43 \times 10^{-1}$,$1.37 \times 10^{1}$,$2.03 \times 10^{2}$,$2.52 \times 10^{1}$,$2.53 \times 10^{1}$
,6,$4.46 \times 10^{-1}$,$4.44 \times 10^{-1}$,$1.34 \times 10^{1}$,$4.09 \times 10^{2}$,$3.01 \times 10^{1}$,$3.03 \times 10^{1}$
,7,$3.56 \times 10^{-1}$,$3.52 \times 10^{-1}$,$1.33 \times 10^{1}$,$4.85 \times 10^{2}$,$3.73 \times 10^{1}$,$3.77 \times 10^{1}$
FISTA,1,2.24,2.22,$2.28 \times 10^{2}$,$1.90 \times 10^{1}$,$1.02 \times 10^{2}$,$1.02 \times 10^{2}$
,2,1.30,1.30,$5.46 \times 10^{1}$,$7.14 \times 10^{1}$,$4.19 \times 10^{1}$,$4.21 \times 10^{1}$
,3,1.50,1.50,$3.45 \times 10^{1}$,$1.85 \times 10^{2}$,$2.30 \times 10^{1}$,$2.30 \times 10^{1}$
,4,1.59,1.58,$4.23 \times 10^{1}$,$4.09 \times 10^{2}$,$2.66 \times 10^{1}$,$2.68 \times 10^{1}$
,5,1.55,1.54,$5.35 \times 10^{1}$,$8.13 \times 10^{2}$,$3.45 \times 10^{1}$,$3.47 \times 10^{1}$
,6,1.11,1.09,$6.80 \times 10^{1}$,$1.47 \times 10^{3}$,$6.10 \times 10^{1}$,$6.24 \times 10^{1}$
,7,$2.55 \times 10^{-1}$,$1.96 \times 10^{-1}$,$8.51 \times 10^{1}$,$3.15 \times 10^{3}$,$3.33 \times 10^{2}$,$4.34 \times 10^{2}$
