Alg.,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
ISTA,1,2.24,2.22,$2.28 \times 10^{2}$,8.52,99.02,99.02
,2,1.30,1.30,$5.46 \times 10^{1}$,$3.14 \times 10^{1}$,97.61,97.62
,3,$9.14 \times 10^{-1}$,$9.10 \times 10^{-1}$,$2.19 \times 10^{1}$,$9.22 \times 10^{1}$,95.83,95.84
,4,$6.90 \times 10^{-1}$,$6.86 \times 10^{-1}$,$1.75 \times 10^{1}$,$1.24 \times 10^{2}$,96.07,96.09
,5,$5.46 \times 10^{-1}$,$5.43 \times 10^{-1}$,$1.57 \times 10^{1}$,$2.03 \times 10^{2}$,96.53,96.55
,6,$4.46 \times 10^{-1}$,$4.44 \times 10^{-1}$,$1.48 \times 10^{1}$,$4.09 \times 10^{2}$,96.99,97.01
,7,$3.56 \times 10^{-1}$,$3.52 \times 10^{-1}$,$1.43 \times 10^{1}$,$4.85 \times 10^{2}$,97.51,97.54
FISTA,1,2.24,2.22,$2.28 \times 10^{2}$,$1.90 \times 10^{1}$,99.02,99.02
,2,1.30,1.30,$5.46 \times 10^{1}$,$7.14 \times 10^{1}$,97.62,97.62
,3,1.50,1.50,$3.45 \times 10^{1}$,$1.85 \times 10^{2}$,95.65,95.67
,4,1.59,1.58,$4.24 \times 10^{1}$,$4.09 \times 10^{2}$,96.26,96.27
,5,1.55,1.54,$5.37 \times 10^{1}$,$8.13 \times 10^{2}$,97.11,97.12
,6,1.11,1.09,$6.82 \times 10^{1}$,$1.47 \times 10^{3}$,98.37,98.40
,7,$2.55 \times 10^{-1}$,$1.96 \times 10^{-1}$,$8.56 \times 10^{1}$,$3.15 \times 10^{3}$,99.70,99.77
