Alg,K,QCQP Obj,QCQP best bound,QCQP gap,QCQP solve time(s)
ISTA,1,2.237,2.258,0.9,2.96
,2,1.302,1.342,3.1,3600
,3,0.914,1.079,18.1,3600
,4,0.69,1.5,117.6,3600
,5,0.546,2.745,402.6,3600
,6,0.446,1.582,254.8,3600
,7,0.354,10.793,$2.95 \times 10^{3}$,3600
FISTA,1,2.237,2.258,0.9,3.27
,2,1.302,1.342,3.1,3600
,3,1.501,1.655,10.2,3600
,4,1.586,2.271,43.2,3600
,5,1.549,2.168,39.9,3600
,6,1.115,289.171,$2.58 \times 10^{4}$,3600
,7,0.198,6746.669,$3.40 \times 10^{6}$,3600
