sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,mosek_tol,sdp_canontime,orig_m,orig_n,b_cmul,b_r,K,t,alg,lambd,seed
2.2365376427046435,8.515873878001003,8,86,3741,2026,2,7340,1e-07,9.259056568145752,10,15,10,0.25,1,0.04,ista,10,3
2.2373823623691464,18.99743977401522,14,116,6786,3061,3,13370,1e-07,16.478702306747437,10,15,10,0.25,1,0.04,fista,10,3
1.3019827374477657,31.396262189024128,23,146,10731,4951,2,21230,1e-07,27.86764621734619,10,15,10,0.25,2,0.04,ista,10,3
1.3015122952185294,71.44697671401082,41,191,18336,7471,3,36350,1e-07,53.542455196380615,10,15,10,0.25,2,0.04,fista,10,3
0.9136392085998501,92.15269036401878,46,206,21321,8776,2,42320,1e-07,63.43619346618652,10,15,10,0.25,3,0.04,ista,10,3
1.5011870485414995,184.599778970005,83,266,35511,13231,3,70580,1e-07,109.65337634086609,10,15,10,0.25,3,0.04,fista,10,3
0.6895422813460819,123.9207398929866,77,266,35511,13501,2,70610,1e-07,108.95619606971741,10,15,10,0.25,4,0.04,ista,10,3
1.5862623756725789,408.9467686560238,140,341,58311,20341,3,116060,1e-07,188.56610012054443,10,15,10,0.25,4,0.04,fista,10,3
0.5458316878683647,202.76210289797746,116,326,53301,19126,2,106100,1e-07,173.24413561820984,10,15,10,0.25,5,0.04,ista,10,3
1.549110372801918,813.456558756996,212,416,86736,28801,3,172790,1e-07,336.98139691352844,10,15,10,0.25,5,0.04,fista,10,3
0.44596943981420445,409.04786344297463,163,386,74691,25651,2,148790,1e-07,270.2884352207184,10,15,10,0.25,6,0.04,ista,10,3
1.1149149917731762,1471.339515633008,299,491,120786,38611,3,240770,1e-07,467.54256224632263,10,15,10,0.25,6,0.04,fista,10,3
0.3559385825262158,484.61723241297295,218,446,99681,33076,2,198680,1e-07,374.3061583042145,10,15,10,0.25,7,0.04,ista,10,3
0.32197290906261244,3287.0441569130053,401,566,160461,49771,3,320000,1e-07,708.4750316143036,10,15,10,0.25,7,0.04,fista,10,3
