sample,K,ista,fista
1.0,1.0,2.1360397668061735,2.1360397668061735
1.0,2.0,1.259735891512594,1.259735891512594
1.0,3.0,0.8860192163458734,1.4556339702484806
1.0,4.0,0.6692709204192882,1.5396088046565566
1.0,5.0,0.5302806385009,1.502161195062766
1.0,6.0,0.43094739520006775,1.0030838857012885
1.0,7.0,0.3430304483277748,0.18871347398735647
2.0,1.0,2.1356895300429004,2.1356895300429004
2.0,2.0,1.2525911394579674,1.2525911394579674
2.0,3.0,0.8792882046809778,1.4445756443647946
2.0,4.0,0.6632924063432588,1.5254844395111784
2.0,5.0,0.5251458747607608,1.4855086616340476
2.0,6.0,0.42573370394904947,1.0772856569010834
2.0,7.0,0.3391261249221845,0.19393728521990042
3.0,1.0,2.1654843156529124,2.1654843156529124
3.0,2.0,1.2692847789216264,1.2692847789216264
3.0,3.0,0.894687440938858,1.4698749279461376
3.0,4.0,0.6766217696968654,1.5568413077130097
3.0,5.0,0.5364395258543897,1.5217236541550963
3.0,6.0,0.4363857434436762,0.9547039403216886
3.0,7.0,0.3475707554738329,0.18253142090444077
4.0,1.0,2.170048571976453,2.170048571976453
4.0,2.0,1.2705306761590844,1.2705306761590844
4.0,3.0,0.8934723681621288,1.467878694481331
4.0,4.0,0.674607333619283,1.5517386694445092
4.0,5.0,0.5342846338179957,1.513754173621835
4.0,6.0,0.4338714393163987,0.9948483928518466
4.0,7.0,0.3455932337283989,0.18648626636677204
5.0,1.0,2.1648035960426624,2.1648035960426624
5.0,2.0,1.267477154166098,1.267477154166098
5.0,3.0,0.8911206622200017,1.4640150953694362
5.0,4.0,0.672814987463536,1.547616901289155
5.0,5.0,0.5328820580617034,1.5089961304374893
5.0,6.0,0.43230905414099946,1.0066162884916068
5.0,7.0,0.3444967948977854,0.186800308900387
6.0,1.0,2.168363908803301,2.168363908803301
6.0,2.0,1.2681167832346407,1.2681167832346407
6.0,3.0,0.890066319093581,1.462282923377224
6.0,4.0,0.6714743468882138,1.5443260865696398
6.0,5.0,0.5316144487094769,1.5033193012355397
6.0,6.0,0.4299812982584977,1.0256566772386817
6.0,7.0,0.3431799637120175,0.18993058505994193
7.0,1.0,2.1627130256741034,2.1627130256741034
7.0,2.0,1.2664039105471177,1.2664039105471177
7.0,3.0,0.8904082922490567,1.462844748372483
7.0,4.0,0.6724470365829811,1.546856380616882
7.0,5.0,0.5327085993565122,1.5066356691562564
7.0,6.0,0.43062631406203583,1.00253647154304
7.0,7.0,0.34405358100685374,0.18659348967023237
8.0,1.0,2.160444173920165,2.160444173920165
8.0,2.0,1.2557414170704781,1.2557414170704781
8.0,3.0,0.88491532090112,1.453820389143986
8.0,4.0,0.6691558059424327,1.5396361672899093
8.0,5.0,0.530521547567632,1.5045267526685595
8.0,6.0,0.4316896081392284,1.0010277833418662
8.0,7.0,0.3437345542138483,0.18703735111158198
9.0,1.0,2.1303723128713234,2.1303723128713234
9.0,2.0,1.2493977732660677,1.2493977732660677
9.0,3.0,0.8784068169320036,1.4431276193956997
9.0,4.0,0.6636853679277142,1.5268775453314252
9.0,5.0,0.5261137430013701,1.4902060024926156
9.0,6.0,0.42710526772539253,1.0438175835386383
9.0,7.0,0.3406128941321956,0.18972055911077665
10.0,1.0,2.155451352307048,2.155451352307048
10.0,2.0,1.2666130121529269,1.2666130121529269
10.0,3.0,0.8904880991717156,1.4629758625351792
10.0,4.0,0.6724651726072839,1.5468733411190465
10.0,5.0,0.5326700754074873,1.5055787967930256
10.0,6.0,0.43029428454120644,0.9994317327761867
10.0,7.0,0.34367782133276487,0.18593534943803677
11.0,1.0,2.1536278323496716,2.1536278323496716
11.0,2.0,1.263052974101864,1.263052974101864
11.0,3.0,0.8883758249054787,1.4595056238318957
11.0,4.0,0.6711539905724001,1.54400258825647
11.0,5.0,0.5318940388854346,1.5113422613801537
11.0,6.0,0.43511489376725154,1.0064551953987342
11.0,7.0,0.34527802259708756,0.18856099172092725
12.0,1.0,2.151930405640682,2.151930405640682
12.0,2.0,1.256431664709282,1.256431664709282
12.0,3.0,0.8812315511745036,1.4477683529649616
12.0,4.0,0.6644399001551571,1.5279946929830073
12.0,5.0,0.5259300335285373,1.4941481533143306
12.0,6.0,0.4305349715607127,1.0702524634138169
12.0,7.0,0.3408476394343951,0.19300635886895634
13.0,1.0,2.14319621806807,2.14319621806807
13.0,2.0,1.2533636236019863,1.2533636236019863
13.0,3.0,0.8816813751698049,1.448507365252859
13.0,4.0,0.6660392893784726,1.5321961431096147
13.0,5.0,0.527765244512777,1.495070034056167
13.0,6.0,0.4289957685707612,1.0430539208209437
13.0,7.0,0.3413712927839398,0.1888906205120992
14.0,1.0,2.1530385871973263,2.1530385871973263
14.0,2.0,1.2603752333255993,1.2603752333255993
14.0,3.0,0.8868951687971456,1.4570730656099267
14.0,4.0,0.6703272161974156,1.542230658138319
14.0,5.0,0.5313920260314395,1.5063600319422543
14.0,6.0,0.4318665146044408,1.0067363715378206
14.0,7.0,0.3442045325839946,0.1873174209960325
15.0,1.0,2.1643827507053266,2.1643827507053266
15.0,2.0,1.272425580696213,1.272425580696213
15.0,3.0,0.8951831678436206,1.470689353761317
15.0,4.0,0.6762353863349375,1.5556327625448407
15.0,5.0,0.5357410989186078,1.5171599781413116
15.0,6.0,0.43446549269934626,0.9756827250788211
15.0,7.0,0.3463861849173651,0.1843746847265764
