Alg.,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
ISTA,1,2.236538,2.222223,227.6345501,8.515874,99.01748746,99.02377605
,2,1.301983,1.296398,54.57299274,31.39626219,97.61423566,97.62446966
,3,0.913639,0.910171,21.88373335,92.15269036,95.82503138,95.84087877
,4,0.689542,0.68647,17.53470158,123.9207399,96.06755783,96.08507737
,5,0.545832,0.543181,15.74709488,202.7621029,96.53376065,96.5505955
,6,0.445969,0.443623,14.83739567,409.0478634,96.99429058,97.01010198
,7,0.355939,0.351708,14.31107319,484.6172324,97.51284201,97.54240653
FISTA,1,2.237382,2.222223,227.6345501,18.99743977,99.01711669,99.02377605
,2,1.301512,1.296398,54.57299274,71.44697671,97.61509872,97.62446966
,3,1.501187,1.495312,34.51247401,184.599779,95.65030603,95.66732886
,4,1.586262,1.578692,42.36614214,408.9467687,96.25582619,96.27369423
,5,1.54911,1.542905,53.65948272,813.4565588,97.11307318,97.12463684
,6,1.114915,1.089926,68.2242519,1471.339516,98.36580839,98.40243613
,7,0.255355,0.195984,85.55790678,3152.716307,99.70154132,99.77093409
