Alg,K,QCQP Obj,QCQP best bound,QCQP gap,QCQP solve time(s)
ISTA,1,2.236590301,2.257758407,0.946445406,2.958348036
,2,1.30198822,1.342278426,3.094513102,3600
,3,0.913739833,1.079134487,18.100847,3600
,4,0.68963116,1.500496656,117.5795909,3600
,5,0.546098599,2.744620866,402.5870549,3600
,6,0.445995454,1.582176221,254.751647,3600
,7,0.353647074,10.79274675,2951.841,3600
FISTA,1,2.236590301,2.257758406,0.946445406,3.267926931
,2,1.30198823,1.342386023,3.102777202,3600
,3,1.501175953,1.655011613,10.24767679,3600
,4,1.586311379,2.271004048,43.162564,3600
,5,1.54941128,2.167584494,39.89729664,3600
,6,1.115467184,289.1707278,25823.73239,3600
,7,0.198298284,6746.669362,3402183.2,3600
