t,K,ista_tau,fista_tau
0.01,1.0,29.16210610933258,29.16210610933258
0.01,2.0,11.906050698612871,11.906050698612871
0.01,3.0,6.39525701674016,9.120455986517605
0.01,4.0,3.9674645890448033,6.975285452129119
0.01,5.0,2.690397460061827,5.41677905172546
0.01,6.0,1.9381594174429935,4.2970532777345145
0.01,7.0,1.4587641807523757,3.461219529502356
0.01,8.0,1.1371897018499766,2.8536778528663307
0.01,9.0,0.9095099702753232,2.414684637148778
0.01,10.0,0.7421880126871395,2.089837960322696
0.01,11.0,0.6160039621419706,1.8451250469302327
0.01,12.0,0.5193959038123119,1.6583975874688186
0.01,13.0,0.4441890987597456,1.5146833604033834
0.01,14.0,0.3845353947289661,1.4034789454205197
0.01,15.0,0.336421904409252,1.3172836477706327
