glob_objval,glob_runtime,gap,orig_m,orig_n,b_r,K,t
3.7692790845295,0.06686997413635254,0.04244879717536059,20.0,10.0,1.0,1.0,0.01
1.8551631248147404,1.478079080581665,0.04816712353996168,20.0,10.0,1.0,2.0,0.01
0.10529059321406709,125.94234991073608,0.9287649405283576,20.0,10.0,1.0,3.0,0.01
0.11879163515764501,121.78355002403259,0.7735986264530725,20.0,10.0,1.0,4.0,0.01
0.08602999847847526,133.31726789474487,1.0800732113095985,20.0,10.0,1.0,5.0,0.01
