sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,mosek_tol,sdp_canontime,orig_m,orig_n,b_cmul,b_r,K,t,alg,lambd,seed
3.4478460515199245,9.020034652989125,8,86,3741,2026,2,7340,1e-07,11.371880769729614,10,15,10,0.25,1,0.05,ista,10,3
3.4490997208454317,29.27459712800919,14,116,6786,3061,3,13370,1e-07,20.701685190200806,10,15,10,0.25,1,0.05,fista,10,3
1.8183212662577901,26.81792220301577,23,146,10731,4951,2,21230,1e-07,34.62078094482422,10,15,10,0.25,2,0.05,ista,10,3
1.8183378313141532,63.73994860702078,41,191,18336,7471,3,36350,1e-07,63.60232472419739,10,15,10,0.25,2,0.05,fista,10,3
1.2043347501090018,67.72785060299793,46,206,21321,8776,2,42320,1e-07,75.09741353988647,10,15,10,0.25,3,0.05,ista,10,3
1.9785791058047835,225.45571817702148,83,266,35511,13231,3,70580,1e-07,132.0998661518097,10,15,10,0.25,3,0.05,fista,10,3
0.8821753196212079,123.40872675101855,77,266,35511,13501,2,70610,1e-07,132.65596532821655,10,15,10,0.25,4,0.05,ista,10,3
2.0018520457846165,481.7820424999809,140,341,58311,20341,3,116060,1e-07,229.0829553604126,10,15,10,0.25,4,0.05,fista,10,3
0.6707942145484438,276.0533521359903,116,326,53301,19126,2,106100,1e-07,211.22549319267273,10,15,10,0.25,5,0.05,ista,10,3
1.7366153345702955,939.5156486190099,212,416,86736,28801,3,172790,1e-07,391.0392327308655,10,15,10,0.25,5,0.05,fista,10,3
