t,K,ista_tau,fista_tau
0.04,1.0,227.3333565851359,227.3333565851359
0.04,2.0,54.5002490543535,54.5002490543535
0.04,3.0,20.955837759690606,34.44088735443495
0.04,4.0,14.745257698014019,42.235369745019945
0.04,5.0,13.74098338663781,53.47424013644513
0.04,6.0,13.453623723420574,67.9527440311958
0.04,7.0,13.271496422220242,85.21496344716647
