sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,mosek_tol,sdp_canontime,orig_m,orig_n,b_cmul,b_r,K,t,alg,lambd,seed
3.5661576207306993,9.126249502005521,8,86,3741,2026,2,7340,1e-07,11.489356517791748,10,15,10,0.5,1,0.05,ista,10,3
3.5677228106784895,21.450027026003227,14,116,6786,3061,3,13370,1e-07,20.217100381851196,10,15,10,0.5,1,0.05,fista,10,3
1.8668392052305265,28.835294901015004,23,146,10731,4951,2,21230,1e-07,33.87183737754822,10,15,10,0.5,2,0.05,ista,10,3
1.8668366750077325,67.23133967601461,41,191,18336,7471,3,36350,1e-07,62.0900182723999,10,15,10,0.5,2,0.05,fista,10,3
1.2346999278842183,64.36692610700266,46,206,21321,8776,2,42320,1e-07,73.89553999900818,10,15,10,0.5,3,0.05,ista,10,3
2.0284969867721685,234.07247887400445,83,266,35511,13231,3,70580,1e-07,128.7563557624817,10,15,10,0.5,3,0.05,fista,10,3
0.9064177040422727,168.82199502398726,77,266,35511,13501,2,70610,1e-07,132.34239101409912,10,15,10,0.5,4,0.05,ista,10,3
2.0588557213874488,555.6960442390118,140,341,58311,20341,3,116060,1e-07,229.76468443870544,10,15,10,0.5,4,0.05,fista,10,3
0.7086425602260427,253.3626689420198,116,326,53301,19126,2,106100,1e-07,209.22076392173767,10,15,10,0.5,5,0.05,ista,10,3
1.9666748722932113,1052.226756560005,212,416,86736,28801,3,172790,1e-07,379.69636607170105,10,15,10,0.5,5,0.05,fista,10,3
