num_iter,eps_b,obj,solve_time
1.0,0.01,0.0028157602080980696,0.07014918327331543
1.0,0.02,0.0028719381117665145,0.047286033630371094
1.0,0.1,0.003391191378454125,0.03343987464904785
1.0,0.25,0.004677922324503122,0.03899383544921875
1.0,0.5,0.007730081854171157,0.04125499725341797
2.0,0.01,0.0007041967533130758,0.11618208885192871
2.0,0.02,0.0007192551931887005,0.08953690528869629
2.0,0.1,0.0009611512489824227,0.09719705581665039
2.0,0.25,0.0023461336822465126,0.09166097640991211
2.0,0.5,0.007314326780155884,0.08249497413635254
3.0,0.01,0.0001768668557987111,0.15393900871276855
3.0,0.02,0.00018718109853433252,0.14508390426635742
3.0,0.1,0.0005331715747741104,0.12345409393310547
3.0,0.25,0.002426604788338951,0.12124991416931152
3.0,0.5,0.009188867779973967,0.13665986061096191
4.0,0.01,4.726983167611487e-05,0.2345130443572998
4.0,0.02,5.969018617897029e-05,0.1915450096130371
4.0,0.1,0.0004571476824448619,0.17270803451538086
4.0,0.25,0.0026307303079363808,0.15699100494384766
4.0,0.5,0.010393531846325688,0.15851283073425293
5.0,0.01,1.520361195296669e-05,0.22075200080871582
5.0,0.02,2.846580215092444e-05,0.21210408210754395
5.0,0.1,0.00045285954160488606,0.20888996124267578
5.0,0.25,0.0027737645694161923,0.20175886154174805
5.0,0.5,0.011062711924814455,0.18313288688659668
6.0,0.01,7.259873217401944e-06,0.24285387992858887
6.0,0.02,2.0953702179070843e-05,0.24121689796447754
6.0,0.1,0.0004591483421225174,0.23532915115356445
6.0,0.25,0.002855525281902219,0.2476038932800293
6.0,0.5,0.011414013244486806,0.22169995307922363
7.0,0.01,5.310541529128846e-06,0.3263540267944336
7.0,0.02,1.9222987945459653e-05,0.3235609531402588
7.0,0.1,0.0004644006983275447,0.2725179195404053
7.0,0.25,0.002898966177397858,0.28007006645202637
7.0,0.5,0.011593843431658656,0.2786600589752197
8.0,0.01,4.8420881924123764e-06,0.3414747714996338
8.0,0.02,1.8863876485644953e-05,0.36971616744995117
8.0,0.1,0.00046755381794151346,0.33475589752197266
8.0,0.25,0.0029213258405767907,0.30051589012145996
8.0,0.5,0.011684802057679397,0.33252692222595215
9.0,0.01,4.733657157395053e-06,0.41780805587768555
9.0,0.02,1.8810897870507183e-05,0.42812013626098633
9.0,0.1,0.00046926209448796175,0.41202592849731445
9.0,0.25,0.0029326674251958776,0.3898038864135742
9.0,0.5,0.011730543433480227,0.3855412006378174
