num_iter,eps_b,obj,solve_time
1.0,0.01,0.00264019239943045,7.987362260446352
1.0,0.02,0.0027583557730271346,4.929659418918512
1.0,0.1,0.003204737098883359,3.4307688868252706
1.0,0.25,0.0043837379447606625,4.1492584625568405
1.0,0.5,0.007116625395695501,4.431054901433721
2.0,0.01,0.0006696395227676312,12.980915549000647
2.0,0.02,0.0006635326536300711,9.756335302035842
2.0,0.1,0.0009466331289951106,11.735996260067482
2.0,0.25,0.002334210790527754,9.354122659697385
2.0,0.5,0.006694089351013324,8.597722279880935
3.0,0.01,0.00017174037337395974,15.894543026946472
3.0,0.02,0.0001750017951213443,16.46538615168376
3.0,0.1,0.000501326612492944,12.978727498515752
3.0,0.25,0.0024013818641883465,13.282159517565608
3.0,0.5,0.008025529039396401,14.342213996700028
4.0,0.01,4.1386223494368215e-05,24.202839712335663
4.0,0.02,5.173172132788977e-05,19.57967064079541
4.0,0.1,0.0004464864694975933,19.61226850550346
4.0,0.25,0.002549542821232427,16.135967771497743
4.0,0.5,0.010205089715014317,16.480625274761213
5.0,0.01,1.5158128775964851e-05,23.73314952035087
5.0,0.02,2.766999932285659e-05,24.836093009165996
5.0,0.1,0.0004192424775016907,21.2966353109623
5.0,0.25,0.0026890725347200766,23.69880768677404
5.0,0.5,0.009731515660052543,18.666955480545802
6.0,0.01,6.897660504501487e-06,29.25968202482915
6.0,0.02,1.8502220326846997e-05,26.435600998042055
6.0,0.1,0.00045559724040522965,28.354640923810774
6.0,0.25,0.0026669843169582585,27.84621437699253
6.0,0.5,0.010494308059060101,25.569050708444458
7.0,0.01,4.775245843963814e-06,32.891685731862076
7.0,0.02,1.8619320731764222e-05,34.212079454572425
7.0,0.1,0.0004295911429069342,27.910843414514158
7.0,0.25,0.002725972544602222,29.69036861058921
7.0,0.5,0.010045852770661818,28.53162742861495
8.0,0.01,4.5857179259257576e-06,36.35366946227401
8.0,0.02,1.785079728265069e-05,40.09825968496157
8.0,0.1,0.0004427536963928485,33.90644229395157
8.0,0.25,0.0028983565892784593,34.35766918812447
8.0,0.5,0.011169032501370474,37.12765049118242
9.0,0.01,4.316962911049882e-06,44.0278698152706
9.0,0.02,1.735215423026817e-05,47.40948856589303
9.0,0.1,0.00044956907662737977,41.980347427580284
9.0,0.25,0.0025571812125718798,43.599815836984966
9.0,0.5,0.011188492826625927,46.05270957303383
