L,mu,t,K,pep_bound
100.0,1.0,0.019801980198019802,1.0,474.46328780645945
100.0,1.0,0.019801980198019802,2.0,455.8587078078704
100.0,1.0,0.019801980198019802,3.0,437.9836465564926
100.0,1.0,0.019801980198019802,4.0,420.8094865374251
100.0,1.0,0.019801980198019802,5.0,404.3087853454987
100.0,1.0,0.019801980198019802,6.0,388.4550647064202
100.0,1.0,0.019801980198019802,7.0,373.2230404903252
100.0,1.0,0.019801980198019802,8.0,358.5882882746007
100.0,1.0,0.019801980198019802,9.0,344.5273221639642
100.0,1.0,0.019801980198019802,10.0,331.017637652921
