mu,L,t,n,sample,K,sdp_obj
1.0,100.0,0.019801980198019802,25.0,0.0,1.0,147.14695004141586
1.0,100.0,0.019801980198019802,25.0,0.0,2.0,50.55349147716623
1.0,100.0,0.019801980198019802,25.0,0.0,3.0,29.91424535647505
1.0,100.0,0.019801980198019802,25.0,0.0,4.0,20.90776670093493
1.0,100.0,0.019801980198019802,25.0,0.0,5.0,16.466752546383148
1.0,100.0,0.019801980198019802,25.0,0.0,6.0,14.047173475343543
1.0,100.0,0.019801980198019802,25.0,0.0,7.0,12.592762055246155
1.0,100.0,0.019801980198019802,25.0,0.0,8.0,11.624329610587282
1.0,100.0,0.019801980198019802,25.0,0.0,9.0,10.912169064730103
1.0,100.0,0.019801980198019802,25.0,0.0,10.0,10.342027318721954
1.0,100.0,0.019801980198019802,25.0,1.0,1.0,114.64277987481081
1.0,100.0,0.019801980198019802,25.0,1.0,2.0,53.04971786948567
1.0,100.0,0.019801980198019802,25.0,1.0,3.0,33.01929024713317
1.0,100.0,0.019801980198019802,25.0,1.0,4.0,23.093624635598243
1.0,100.0,0.019801980198019802,25.0,1.0,5.0,17.5914078232517
1.0,100.0,0.019801980198019802,25.0,1.0,6.0,14.296796299277899
1.0,100.0,0.019801980198019802,25.0,1.0,7.0,12.192890118156432
1.0,100.0,0.019801980198019802,25.0,1.0,8.0,10.771074560977084
1.0,100.0,0.019801980198019802,25.0,1.0,9.0,9.758449162925675
1.0,100.0,0.019801980198019802,25.0,1.0,10.0,9.000467740824377
1.0,100.0,0.019801980198019802,25.0,2.0,1.0,180.45005253913152
1.0,100.0,0.019801980198019802,25.0,2.0,2.0,50.389617383445
1.0,100.0,0.019801980198019802,25.0,2.0,3.0,26.205663375630337
1.0,100.0,0.019801980198019802,25.0,2.0,4.0,18.359088794126745
1.0,100.0,0.019801980198019802,25.0,2.0,5.0,15.06866781083299
1.0,100.0,0.019801980198019802,25.0,2.0,6.0,13.38111864844828
1.0,100.0,0.019801980198019802,25.0,2.0,7.0,12.339572310161483
1.0,100.0,0.019801980198019802,25.0,2.0,8.0,11.589717071808748
1.0,100.0,0.019801980198019802,25.0,2.0,9.0,10.987449990607486
1.0,100.0,0.019801980198019802,25.0,2.0,10.0,10.469138595263601
1.0,100.0,0.019801980198019802,25.0,3.0,1.0,120.23248332530136
1.0,100.0,0.019801980198019802,25.0,3.0,2.0,48.46756899745533
1.0,100.0,0.019801980198019802,25.0,3.0,3.0,29.479400754191623
1.0,100.0,0.019801980198019802,25.0,3.0,4.0,21.00323162673457
1.0,100.0,0.019801980198019802,25.0,3.0,5.0,16.563113955644127
1.0,100.0,0.019801980198019802,25.0,3.0,6.0,13.959677567117954
1.0,100.0,0.019801980198019802,25.0,3.0,7.0,12.288560682937574
1.0,100.0,0.019801980198019802,25.0,3.0,8.0,11.13138296641431
1.0,100.0,0.019801980198019802,25.0,3.0,9.0,10.276382083305137
1.0,100.0,0.019801980198019802,25.0,3.0,10.0,9.608469514952997
