sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,mosek_tol,sdp_canontime,seed,start,rho,T,K
2.1800849960840196e-05,28.330607943003997,10,169,14365,3321,79,28432,1e-07,41.737008810043335,0,cs,rho_const,5,1
39.31632836019824,169.39628483599517,22,241,29161,7905,119,57920,1e-07,99.26357817649841,0,cs,rho_const,5,2
14.668307224742342,1169.0899348540115,42,313,49141,13769,159,97776,1e-07,182.23958253860474,0,cs,rho_const,5,3
4.462258896609228e-06,34.83361893100664,10,169,14365,3321,79,28432,1e-07,42.78789710998535,0,cs,rho_adj,5,1
87.80647759895948,182.64351186499698,22,241,29161,7905,119,57920,1e-07,100.75069808959961,0,cs,rho_adj,5,2
7.864333437045726,903.6842094049789,42,313,49141,13769,159,97776,1e-07,182.44259452819824,0,cs,rho_adj,5,3
39.654202418078,64.05928933102405,10,169,14365,3321,90,28432,1e-07,42.26512050628662,0,ws,rho_const,5,1
39.31630828636561,296.07405644998653,22,241,29161,7905,130,57920,1e-07,100.59450101852417,0,ws,rho_const,5,2
14.668329516041972,1001.1100705470308,42,313,49141,13769,170,97776,1e-07,179.32240629196167,0,ws,rho_const,5,3
39.654071634342195,69.08968300401466,10,169,14365,3321,90,28432,1e-07,42.02032780647278,0,ws,rho_adj,5,1
87.80632383248621,357.72616700298386,22,241,29161,7905,130,57920,1e-07,101.41543626785278,0,ws,rho_adj,5,2
7.867649184667304,867.565250975953,42,313,49141,13769,170,97776,1e-07,181.4450433254242,0,ws,rho_adj,5,3
