rho,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
Scalar,1,36.98136317,36.78155943,394.1408019,45.61623833,10.65782243,10.71571755
,2,35.4276388,34.92591109,73.92793401,192.5152207,2.086730488,2.116707387
,3,13.40619924,13.29560911,18.55526448,583.1177486,1.384080913,1.395593412
,4,7.780274449,7.70569752,9.246316111,1502.758188,1.188430585,1.199932399
,5,5.470989857,5.407115056,5.914234416,3416.521119,1.081017251,1.093787418
,6,3.868593392,3.802764315,4.107106912,7122.250012,1.06165381,1.080031938
Diagonal,1,36.98137496,36.78157233,,45.78607552,,
,2,80.68691879,79.85782286,,205.8592158,,
,3,5.957431262,5.702623376,,625.9935632,,
,4,0.314923173,0.216539258,,1748.937156,,
,5,0.115506231,0.027030142,,2919.713744,,
,6,0.100768694,0.003984398,,6655.027301,,
