sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,mosek_tol,sdp_canontime,seed,start,rho,T
0.00010863603036948959,0.8147480487823486,10,73,2701,636,31,5276,1e-07,2.4350569248199463,0,cs,rho_const,2
29.292100472818188,1.823915958404541,22,103,5356,1479,47,10550,1e-07,5.488674640655518,0,cs,rho_const,2
4.10852638191075,4.07373309135437,42,133,8911,2546,63,17624,1e-07,9.33398175239563,0,cs,rho_const,2
2.528123073488608,10.124860048294067,70,163,13366,3837,79,26498,1e-07,14.884160041809082,0,cs,rho_const,2
1.8040524871187102,13.832632064819336,106,193,18721,5352,95,37172,1e-07,23.506463050842285,0,cs,rho_const,2
0.0001497525306210435,0.8053879737854004,10,73,2701,636,31,5276,1e-07,2.4831161499023438,0,cs,rho_adj,2
114.01070267861905,1.9692778587341309,22,103,5356,1479,47,10550,1e-07,5.287402153015137,0,cs,rho_adj,2
7.328957507657947,4.318368196487427,42,133,8911,2546,63,17624,1e-07,9.398189067840576,0,cs,rho_adj,2
2.5224523793930977,6.842257022857666,70,163,13366,3837,79,26498,1e-07,14.846742868423462,0,cs,rho_adj,2
2.1095864203214347,11.17768907546997,106,193,18721,5352,95,37172,1e-07,23.596029043197632,0,cs,rho_adj,2
0.00010863603036948959,0.9234371185302734,10,73,2701,636,31,5276,1e-07,2.524773120880127,0,ws,rho_const,2
29.292100472818188,1.895737886428833,22,103,5356,1479,47,10550,1e-07,5.352573871612549,0,ws,rho_const,2
4.10852638191075,4.125576019287109,42,133,8911,2546,63,17624,1e-07,9.55467414855957,0,ws,rho_const,2
2.528123073488608,10.32011890411377,70,163,13366,3837,79,26498,1e-07,14.73487114906311,0,ws,rho_const,2
1.8040524871187102,14.045214891433716,106,193,18721,5352,95,37172,1e-07,23.5258948802948,0,ws,rho_const,2
0.0001497525306210435,0.8772790431976318,10,73,2701,636,31,5276,1e-07,2.4605541229248047,0,ws,rho_adj,2
114.01070267861905,2.2314138412475586,22,103,5356,1479,47,10550,1e-07,5.328867197036743,0,ws,rho_adj,2
7.328957507657947,4.436707973480225,42,133,8911,2546,63,17624,1e-07,9.348811864852905,0,ws,rho_adj,2
2.5224523793930977,6.9810168743133545,70,163,13366,3837,79,26498,1e-07,14.835885047912598,0,ws,rho_adj,2
2.1095864203214347,11.25200891494751,106,193,18721,5352,95,37172,1e-07,23.510164976119995,0,ws,rho_adj,2
