sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,mosek_tol,sdp_canontime,seed,start,rho,T,K
36.98136317463734,45.61623833095655,10,169,14365,3321,90,28432,1e-07,29.617682218551636,0,ws,rho_const,5,1
35.42763880498012,192.51522071799263,22,241,29161,7905,130,57920,1e-07,71.51192617416382,0,ws,rho_const,5,2
13.40619923955424,583.1177485709777,42,313,49141,13769,170,97776,1e-07,131.4157588481903,0,ws,rho_const,5,3
7.780274448528331,1502.75818802102,70,385,74305,20913,210,148000,1e-07,228.21976161003113,0,ws,rho_const,5,4
5.47098985670678,3416.5211188179674,106,457,104653,29337,250,208592,1e-07,343.2346978187561,0,ws,rho_const,5,5
3.8685933920287567,7122.250011894037,150,529,140185,39041,290,279552,1e-07,688.2716608047485,0,ws,rho_const,5,6
36.981374960109974,45.78607551800087,10,169,14365,3321,90,28432,1e-07,30.143871545791626,0,ws,rho_adj,5,1
80.6869187900192,205.85921579808928,22,241,29161,7905,130,57920,1e-07,72.41785645484924,0,ws,rho_adj,5,2
5.957431262018918,625.9935632259585,42,313,49141,13769,170,97776,1e-07,132.74369978904724,0,ws,rho_adj,5,3
0.3149231734529465,1748.9371562869055,70,385,74305,20913,210,148000,1e-07,232.21806645393372,0,ws,rho_adj,5,4
0.11550623124174209,2919.7137435949408,106,457,104653,29337,250,208592,1e-07,346.28466296195984,0,ws,rho_adj,5,5
0.10076869413515865,6655.0273005360505,150,529,140185,39041,290,279552,1e-07,694.1686546802521,0,ws,rho_adj,5,6
