sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,mosek_tol,sdp_canontime,seed,start,rho,T,K
2.060828029115669e-05,20.759588269051164,10,169,14365,3321,79,28432,1e-07,32.141204595565796,0,cs,rho_const,5,1
39.316370567384084,134.08613962400705,22,241,29161,7905,119,57920,1e-07,79.05389213562012,0,cs,rho_const,5,2
14.668235649039786,594.0859511089511,42,313,49141,13769,159,97776,1e-07,144.9715757369995,0,cs,rho_const,5,3
9.08873516883277,1753.3150651417673,70,385,74305,20913,199,148000,1e-07,258.4186282157898,0,cs,rho_const,5,4
6.73892610111433,2657.857913774904,106,457,104653,29337,239,208592,1e-07,385.6465833187103,0,cs,rho_const,5,5
5.141131975756764,6175.302641989198,150,529,140185,39041,279,279552,1e-07,640.4654223918915,0,cs,rho_const,5,6
3.7874543963312135e-06,28.413753380067647,10,169,14365,3321,79,28432,1e-07,34.413811445236206,0,cs,rho_adj,5,1
87.80588205498391,147.47465583169833,22,241,29161,7905,119,57920,1e-07,85.95774817466736,0,cs,rho_adj,5,2
7.856076989398019,651.8522952478379,42,313,49141,13769,159,97776,1e-07,158.68244171142578,0,cs,rho_adj,5,3
2.1874768247315046,2350.896478369832,70,385,74305,20913,199,148000,1e-07,279.47303342819214,0,cs,rho_adj,5,4
1.9402188253804624,2905.614395204,106,457,104653,29337,239,208592,1e-07,423.4030771255493,0,cs,rho_adj,5,5
1.9551186222229155,8010.3097332390025,150,529,140185,39041,279,279552,1e-07,637.5912413597107,0,cs,rho_adj,5,6
