glob_objval,glob_runtime,glob_bestbound,gap,seed,start,rho,T,K
39.654204914068956,0.3332641124725342,39.65420491406823,0.0,0,ws,rho_const,5,1
39.316299295008996,0.150360107421875,39.375170123529614,0.001497364441115938,0,ws,rho_const,5,2
14.489556432353424,0.5380749702453613,14.61214863021481,0.008460728141246033,0,ws,rho_const,5,3
8.36840941617939,8.027890920639038,8.436938632535405,0.008189037240879013,0,ws,rho_const,5,4
5.86322288973696,679.1174490451813,5.9218369167131995,0.00999689557748827,0,ws,rho_const,5,5
4.130275204740769,1024.2612071037292,4.171564971364646,0.009996856039152912,0,ws,rho_const,5,6
-inf,3600.0195441246033,3.689319889328006,inf,0,ws,rho_const,5,7
39.654217658812094,0.020824909210205078,39.65421765881202,0.0,0,ws,rho_adj,5,1
87.80625258590307,0.028202056884765625,87.86892793540542,0.0007137914175421569,0,ws,rho_adj,5,2
6.546199305355685,0.7593019008636475,6.611440534766135,0.009966276058395264,0,ws,rho_adj,5,3
0.23541424012960022,3600.026880979538,0.2552637255365562,0.08431726728182812,0,ws,rho_adj,5,4
0.02849023247476623,3600.012368917465,0.1758140689572771,5.171029636665669,0,ws,rho_adj,5,5
0.0043325665816098535,3600.012324810028,0.03349889156041996,6.731881537057133,0,ws,rho_adj,5,6
0.0009154931520924947,3600.0564460754395,0.08822820058644021,95.37232172057392,0,ws,rho_adj,5,7
