sched,K,tau
silver,1,376.7908806532081
mu_silver,1,343.74811921460696
silver,2,131.37915155214475
mu_silver,2,86.28551175133384
silver,3,64.64709504853029
mu_silver,3,29.112042868481446
silver,4,64.64709380056377
mu_silver,4,11.628561151903435
silver,5,64.6470935351586
mu_silver,5,7.291221171834769
silver,6,22.183357870643565
mu_silver,6,1.5430661256043583
silver,7,11.091688005773833
mu_silver,7,0.5337964239502212
silver,8,44.36675419700107
mu_silver,8,0.30343895317842895
silver,9,64.64709490642194
mu_silver,9,0.23765836288898656
silver,10,22.183372849619445
mu_silver,10,0.050259044850575404
