sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,mosek_tol,sdp_canontime,orig_m,orig_n,mu,L,b_cmul,b_r,K,sched,t,seed
131.77621109846925,74.77969630993903,1,141,10011,41,2,19780,1e-07,24.171292304992676,60,40,20.000000000000156,99.99999999999996,30,0.5,1,silver,0.014142135623730958,1
120.22023117891024,71.69979967921972,1,141,10011,41,2,19780,1e-07,24.228006839752197,60,40,20.000000000000156,99.99999999999996,30,0.5,1,mu_silver,0.013507810593582121,1
11.245360571703264,155.9585964558646,2,181,16471,81,2,32660,1e-07,42.57869577407837,60,40,20.000000000000156,99.99999999999996,30,0.5,2,silver,0.020000000000000007,1
10.44404782505875,158.06014806311578,2,181,16471,81,2,32660,1e-07,42.709789514541626,60,40,20.000000000000156,99.99999999999996,30,0.5,2,mu_silver,0.017713243027566335,1
0.20284640998737302,305.40666601387784,3,221,24531,121,2,48740,1e-07,70.41190457344055,60,40,20.000000000000156,99.99999999999996,30,0.5,3,silver,0.014142135623730958,1
0.17504575254339194,304.9141880138777,3,221,24531,121,2,48740,1e-07,75.39865946769714,60,40,20.000000000000156,99.99999999999996,30,0.5,3,mu_silver,0.013507810593582121,1
0.06896772897424341,442.7665702160448,4,261,34191,161,2,68020,1e-07,104.38701629638672,60,40,20.000000000000156,99.99999999999996,30,0.5,4,silver,0.03414213562373097,1
0.08395351366597126,421.3979950961657,4,261,34191,161,2,68020,1e-07,105.52562427520752,60,40,20.000000000000156,99.99999999999996,30,0.5,4,mu_silver,0.024232063896765233,1
0.03691409302606985,744.4381512273103,5,301,45451,201,2,90500,1e-07,149.87663578987122,60,40,20.000000000000156,99.99999999999996,30,0.5,5,silver,0.014142135623730958,1
0.014392727816858297,616.6460108500905,5,301,45451,201,2,90500,1e-07,146.0020887851715,60,40,20.000000000000156,99.99999999999996,30,0.5,5,mu_silver,0.013507810593582121,1
0.034290788932541005,1041.6398645890877,6,341,58311,241,2,116180,1e-07,193.333571434021,60,40,20.000000000000156,99.99999999999996,30,0.5,6,silver,0.020000000000000007,1
0.032051615900883235,1015.2922904300503,6,341,58311,241,2,116180,1e-07,192.25503706932068,60,40,20.000000000000156,99.99999999999996,30,0.5,6,mu_silver,0.017713243027566335,1
0.04476293343763693,976.2789188870229,7,381,72771,281,2,145060,1e-07,264.54665327072144,60,40,20.000000000000156,99.99999999999996,30,0.5,7,silver,0.014142135623730958,1
0.007443780364366326,966.9067391050048,7,381,72771,281,2,145060,1e-07,267.08092617988586,60,40,20.000000000000156,99.99999999999996,30,0.5,7,mu_silver,0.013507810593582121,1
