sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,mosek_tol,sdp_canontime,orig_m,orig_n,b_r,b_c,K,t
50.984416116897854,44.71723240893334,1.0,141.0,10011.0,41.0,2.0,19820.0,1e-07,18.07378387451172,60.0,40.0,0.5,20.0,1.0,0.010000000000000012
79.66527922702073,45.172585842199624,1.0,141.0,10011.0,41.0,2.0,19820.0,1e-07,17.720482110977173,60.0,40.0,0.5,20.0,1.0,0.012500000000000016
114.72135918269494,46.90481786499731,1.0,141.0,10011.0,41.0,2.0,19820.0,1e-07,17.73070240020752,60.0,40.0,0.5,20.0,1.0,0.015000000000000019
141.6274101671408,49.132065115030855,1.0,141.0,10011.0,41.0,2.0,19820.0,1e-07,17.653331756591797,60.0,40.0,0.5,20.0,1.0,0.016666666666666673
156.1523871329644,46.743719924008474,1.0,141.0,10011.0,41.0,2.0,19820.0,1e-07,17.79455041885376,60.0,40.0,0.5,20.0,1.0,0.017500000000000022
203.94044815021076,47.385971893090755,1.0,141.0,10011.0,41.0,2.0,19820.0,1e-07,17.713014841079712,60.0,40.0,0.5,20.0,1.0,0.020000000000000025
8.788023176449078,108.65132664283738,2.0,181.0,16471.0,81.0,2.0,32740.0,1e-07,31.146052360534668,60.0,40.0,0.5,20.0,2.0,0.010000000000000012
6.955372396734776,111.87353219510987,2.0,181.0,16471.0,81.0,2.0,32740.0,1e-07,31.177754163742065,60.0,40.0,0.5,20.0,2.0,0.012500000000000016
5.739742134733348,127.34336799592711,2.0,181.0,16471.0,81.0,2.0,32740.0,1e-07,31.136018753051758,60.0,40.0,0.5,20.0,2.0,0.015000000000000019
7.312705795185559,148.88031033892184,2.0,181.0,16471.0,81.0,2.0,32740.0,1e-07,31.22607159614563,60.0,40.0,0.5,20.0,2.0,0.016666666666666673
9.461710429087466,117.5812265239656,2.0,181.0,16471.0,81.0,2.0,32740.0,1e-07,31.23215675354004,60.0,40.0,0.5,20.0,2.0,0.017500000000000022
24.560135799754875,122.60078689386137,2.0,181.0,16471.0,81.0,2.0,32740.0,1e-07,31.184945344924927,60.0,40.0,0.5,20.0,2.0,0.020000000000000025
2.2139641940772714,197.7044760598801,3.0,221.0,24531.0,121.0,2.0,48860.0,1e-07,52.04303312301636,60.0,40.0,0.5,20.0,3.0,0.010000000000000012
1.3429914501416498,190.70470176893286,3.0,221.0,24531.0,121.0,2.0,48860.0,1e-07,52.20630359649658,60.0,40.0,0.5,20.0,3.0,0.012500000000000016
0.8440596663387492,221.9357636210043,3.0,221.0,24531.0,121.0,2.0,48860.0,1e-07,53.139262676239014,60.0,40.0,0.5,20.0,3.0,0.015000000000000019
0.9622226593872227,177.41526226117276,3.0,221.0,24531.0,121.0,2.0,48860.0,1e-07,52.312846183776855,60.0,40.0,0.5,20.0,3.0,0.016666666666666673
1.3901025618917853,202.95335174980573,3.0,221.0,24531.0,121.0,2.0,48860.0,1e-07,51.939327239990234,60.0,40.0,0.5,20.0,3.0,0.017500000000000022
7.1945974094946745,175.90026777004823,3.0,221.0,24531.0,121.0,2.0,48860.0,1e-07,52.60959553718567,60.0,40.0,0.5,20.0,3.0,0.020000000000000025
0.6945840874269411,265.36697953986004,4.0,261.0,34191.0,161.0,2.0,68180.0,1e-07,76.66564536094666,60.0,40.0,0.5,20.0,4.0,0.010000000000000012
0.3658973650644821,232.47698162100278,4.0,261.0,34191.0,161.0,2.0,68180.0,1e-07,76.766104221344,60.0,40.0,0.5,20.0,4.0,0.012500000000000016
0.194578056142781,302.2953994560521,4.0,261.0,34191.0,161.0,2.0,68180.0,1e-07,76.76703882217407,60.0,40.0,0.5,20.0,4.0,0.015000000000000019
0.17766170549078808,251.73109010211192,4.0,261.0,34191.0,161.0,2.0,68180.0,1e-07,76.93569445610046,60.0,40.0,0.5,20.0,4.0,0.016666666666666673
0.2967283521928312,273.4074271938298,4.0,261.0,34191.0,161.0,2.0,68180.0,1e-07,76.68908905982971,60.0,40.0,0.5,20.0,4.0,0.017500000000000022
2.6632142389550495,279.2739075210411,4.0,261.0,34191.0,161.0,2.0,68180.0,1e-07,76.76193404197693,60.0,40.0,0.5,20.0,4.0,0.020000000000000025
0.2629860513329234,343.48327110684477,5.0,301.0,45451.0,201.0,2.0,90700.0,1e-07,106.08563804626465,60.0,40.0,0.5,20.0,5.0,0.010000000000000012
0.1333892635751326,282.5903416760266,5.0,301.0,45451.0,201.0,2.0,90700.0,1e-07,106.60043692588806,60.0,40.0,0.5,20.0,5.0,0.012500000000000016
0.07216335864910839,293.88879735185765,5.0,301.0,45451.0,201.0,2.0,90700.0,1e-07,106.48248267173767,60.0,40.0,0.5,20.0,5.0,0.015000000000000019
0.047942546052265556,302.26118533988483,5.0,301.0,45451.0,201.0,2.0,90700.0,1e-07,106.29537773132324,60.0,40.0,0.5,20.0,5.0,0.016666666666666673
0.1151593615346087,295.3500300941523,5.0,301.0,45451.0,201.0,2.0,90700.0,1e-07,106.53601455688477,60.0,40.0,0.5,20.0,5.0,0.017500000000000022
1.1356367644318937,371.4167901100591,5.0,301.0,45451.0,201.0,2.0,90700.0,1e-07,106.13755202293396,60.0,40.0,0.5,20.0,5.0,0.020000000000000025
0.10850159157883255,418.03921249788254,6.0,341.0,58311.0,241.0,2.0,116420.0,1e-07,141.62255716323853,60.0,40.0,0.5,20.0,6.0,0.010000000000000012
0.06677510920064478,377.36665511201136,6.0,341.0,58311.0,241.0,2.0,116420.0,1e-07,141.72189283370972,60.0,40.0,0.5,20.0,6.0,0.012500000000000016
