sdp_objval,sdp_solvetime,num_cones,problem_dim,x_dim,num_Aeq,num_Au,num_Al,mosek_tol,sdp_canontime,orig_m,orig_n,mu,L,b_r,b_c,K,t
44.03220709796837,47.2313806891907,1.0,141.0,10011.0,41.0,2.0,19780.0,1e-07,17.98059391975403,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,1.0,0.010000000000000004
68.79877381917261,42.07745108590461,1.0,141.0,10011.0,41.0,2.0,19780.0,1e-07,17.790202379226685,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,1.0,0.012500000000000004
99.12296538622937,41.86876218393445,1.0,141.0,10011.0,41.0,2.0,19780.0,1e-07,17.862534523010254,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,1.0,0.015000000000000005
134.91898280508795,42.00529486988671,1.0,141.0,10011.0,41.0,2.0,19780.0,1e-07,17.572272777557373,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,1.0,0.017500000000000005
176.14384293594708,45.5874060720671,1.0,141.0,10011.0,41.0,2.0,19780.0,1e-07,18.380083084106445,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,1.0,0.020000000000000007
13.324585937994796,100.52947863098234,2.0,181.0,16471.0,81.0,2.0,32660.0,1e-07,31.17670774459839,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,2.0,0.010000000000000004
14.264250519754533,113.02893458795734,2.0,181.0,16471.0,81.0,2.0,32660.0,1e-07,31.043171882629395,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,2.0,0.012500000000000004
14.228270869034269,99.86750395712443,2.0,181.0,16471.0,81.0,2.0,32660.0,1e-07,31.140745401382446,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,2.0,0.015000000000000005
15.049527855746911,107.51120171695948,2.0,181.0,16471.0,81.0,2.0,32660.0,1e-07,31.151845455169678,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,2.0,0.017500000000000005
19.49102258501613,110.28015309199691,2.0,181.0,16471.0,81.0,2.0,32660.0,1e-07,31.68479609489441,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,2.0,0.020000000000000007
5.53599548884042,163.30757553712465,3.0,221.0,24531.0,121.0,2.0,48740.0,1e-07,51.87261438369751,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,3.0,0.010000000000000004
5.2969230500191475,161.77973773493432,3.0,221.0,24531.0,121.0,2.0,48740.0,1e-07,52.607348680496216,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,3.0,0.012500000000000004
4.876820015345311,172.4484416730702,3.0,221.0,24531.0,121.0,2.0,48740.0,1e-07,51.995667457580566,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,3.0,0.015000000000000005
4.457789231551093,176.98822958488017,3.0,221.0,24531.0,121.0,2.0,48740.0,1e-07,52.077608585357666,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,3.0,0.017500000000000005
4.758631440400041,177.80041946307756,3.0,221.0,24531.0,121.0,2.0,48740.0,1e-07,51.579830169677734,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,3.0,0.020000000000000007
2.7095357100947677,249.8921434751246,4.0,261.0,34191.0,161.0,2.0,68020.0,1e-07,77.482834815979,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,4.0,0.010000000000000004
2.378558241861114,271.15289386711083,4.0,261.0,34191.0,161.0,2.0,68020.0,1e-07,76.76737070083618,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,4.0,0.012500000000000004
2.0225069505193467,275.6229635931086,4.0,261.0,34191.0,161.0,2.0,68020.0,1e-07,77.9732174873352,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,4.0,0.015000000000000005
1.6588243407706962,265.94733767793514,4.0,261.0,34191.0,161.0,2.0,68020.0,1e-07,77.97227883338928,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,4.0,0.017500000000000005
1.427392660096757,272.0982604320161,4.0,261.0,34191.0,161.0,2.0,68020.0,1e-07,76.15201473236084,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,4.0,0.020000000000000007
1.4779399743226769,441.8764643180184,5.0,301.0,45451.0,201.0,2.0,90500.0,1e-07,106.59219336509705,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,5.0,0.010000000000000004
1.2123974327403069,507.8873824849725,5.0,301.0,45451.0,201.0,2.0,90500.0,1e-07,106.1809196472168,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,5.0,0.012500000000000004
0.9534299514390057,535.0275012699421,5.0,301.0,45451.0,201.0,2.0,90500.0,1e-07,106.85332179069519,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,5.0,0.015000000000000005
0.7223014306768931,588.8315183389932,5.0,301.0,45451.0,201.0,2.0,90500.0,1e-07,106.52721905708313,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,5.0,0.017500000000000005
0.563795779238248,477.79717825492844,5.0,301.0,45451.0,201.0,2.0,90500.0,1e-07,106.49420404434204,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,5.0,0.020000000000000007
0.8691317543739352,684.0807491280138,6.0,341.0,58311.0,241.0,2.0,116180.0,1e-07,141.50352120399475,60.0,40.0,3.963357932706921e-15,99.99999999999997,0.5,30.0,6.0,0.010000000000000004
