t,K,tau
0.01000000000000005,1.0,339.4946108552451
0.012500000000000061,1.0,530.4603286319741
0.015000000000000074,1.0,763.8628725855261
0.0200000000000001,1.0,1357.9784398851157
0.01750000000000009,1.0,1039.7022429206265
0.0200000000000001,1.0,1357.9784398851157
0.01000000000000005,2.0,84.87365075073367
0.012500000000000061,2.0,104.78228261511477
0.015000000000000074,2.0,190.9657191172823
0.0200000000000001,2.0,1357.9784433942777
0.01750000000000009,2.0,584.8325119150264
0.0200000000000001,2.0,1357.9784433942777
0.01000000000000005,3.0,37.72162314800602
0.012500000000000061,3.0,43.30288269480356
0.015000000000000074,3.0,47.74142946147558
0.0200000000000001,3.0,1357.9784091086326
0.01750000000000009,3.0,328.9682676371089
0.0200000000000001,3.0,1357.9784091086326
0.01000000000000005,4.0,21.218411148725934
0.012500000000000061,4.0,23.510704933429913
0.015000000000000074,4.0,25.251663382151136
0.0200000000000001,4.0,1357.9783163584013
0.01750000000000009,4.0,185.0446199225259
0.0200000000000001,4.0,1357.9783163584013
0.01000000000000005,5.0,13.579784030091599
0.012500000000000061,5.0,14.735008660400611
0.015000000000000074,5.0,15.589036346941551
0.0200000000000001,5.0,1357.9782438130842
0.01750000000000009,5.0,104.08758884456894
0.0200000000000001,5.0,1357.9782438130842
0.01000000000000005,6.0,9.430404911317972
0.012500000000000061,6.0,10.09199173028963
0.015000000000000074,6.0,10.572496035228141
0.0200000000000001,6.0,1357.9783114945
0.01750000000000009,6.0,58.5492855685759
0.0200000000000001,6.0,1357.9783114945
0.01000000000000005,7.0,6.928460634297608
0.012500000000000061,7.0,7.342011025986219
0.015000000000000074,7.0,7.6386285520219275
0.0200000000000001,7.0,1357.9783973981475
0.01750000000000009,7.0,32.93395914880108
0.0200000000000001,7.0,1357.9783973981475
0.01000000000000005,8.0,5.304601603226067
0.012500000000000061,8.0,5.580121764299059
0.015000000000000074,8.0,5.775900588417409
0.0200000000000001,8.0,1357.9784451742448
0.01750000000000009,8.0,18.525345211679685
0.0200000000000001,8.0,1357.9784451742448
0.01000000000000005,9.0,4.191288654568641
0.012500000000000061,9.0,4.383962770102556
0.015000000000000074,9.0,4.519897634112355
0.0200000000000001,9.0,1357.9784399549706
0.01750000000000009,9.0,10.420504479327702
0.0200000000000001,9.0,1357.9784399549706
0.01000000000000005,10.0,3.3949459566993827
0.012500000000000061,10.0,3.534926895025356
0.015000000000000074,10.0,3.633112583336936
0.0200000000000001,10.0,1357.9783447389987
0.01750000000000009,10.0,5.861538821756652
0.0200000000000001,10.0,1357.9783447389987
