t,K,SDP obj.,Sample obj.,PEP obj.,SDP solvetime(s),SDP improv.,Samp improv.
0.01,1,44.0322071,43.73768081,594.3829876,47.23138069,13.4988234,13.58972347
,2,13.32458594,13.24239458,111.4468811,100.5294786,8.364003325,8.415916051
,3,5.535995489,5.498824267,49.53193662,163.3075755,8.947250177,9.007732238
,4,2.70953571,2.688711616,27.8616945,249.8921435,10.28282978,10.36247039
,5,1.477939974,1.465208866,17.83149535,441.8764643,12.0651012,12.16993411
,6,0.869131754,0.860365096,12.38298724,684.0807491,14.24753748,14.39271223
,7,0.534953934,0.528333893,9.097703699,515.4091877,17.00651798,17.21961021
,8,0.34120116,0.33449661,6.965428688,509.1678574,20.41443437,20.82361519
,9,0.238258625,0.216812155,5.503549993,596.6000345,23.09905882,25.38395503
,10,0.17290598,0.143225753,4.457874473,764.6654635,25.78207227,31.12481086
0.0125,1,68.79877382,68.34012627,731.5481081,42.07745109,10.6331562,10.70451795
,2,14.26425052,14.17475135,125.3761444,113.0289346,8.789536066,8.845033066
,3,5.29692305,5.256197938,49.53195065,161.7797377,9.351079897,9.423532225
,4,2.378558242,2.357573315,27.86172145,271.1528939,11.71370159,11.81796607
,5,1.212397433,1.199392046,17.8315037,507.8873825,14.70763894,14.86711852
,6,0.662382885,0.653630304,12.38298184,639.6895651,18.69459813,18.94493227
,7,0.395435795,0.372342181,9.097705839,563.9436339,23.00678379,24.43372334
,8,0.247731019,0.219160891,6.965431889,577.8574854,28.11691454,31.78227583
,9,0.156070408,0.132525152,5.50355084,631.9230207,35.26325657,41.52834958
,10,0.120350473,0.082045002,4.457875099,810.1766883,37.04077755,54.33451143
0.015,1,99.12296539,98.40978183,1003.021977,41.86876218,10.11896661,10.19229957
,2,14.22827087,14.12755951,264.165633,99.86750396,18.56624993,18.69860345
,3,4.876820015,4.834448988,62.69250061,172.4484417,12.85520081,12.96786889
,4,2.022506951,2.000626202,27.86175231,275.6229636,13.77584996,13.92651575
,5,0.953429951,0.941998007,17.83150494,535.0275013,18.70248037,18.92945081
,6,0.484543936,0.475217498,12.38298915,666.194341,25.55596764,26.05751935
,7,0.329481596,0.251289466,9.097706818,633.2411648,27.61218511,36.20409149
,8,0.178116773,0.138133842,6.965430834,515.7582798,39.10597928,50.42523058
,9,0.124599667,0.07512426,5.50354888,845.7589421,44.16985224,73.25927577
,10,0.102595262,0.039609876,4.45787627,1000.303618,43.45109299,112.5445651
